NR;VORNAME;NACHNAME;FIRMA;TOP IN WAS;MVP / AUSZEICHNUNG;ZERTIFIKATE;WEBSITE;EVENT(S)
1;Marwan;Abu-Khalil;Siemens AG;Software Architecture;;;https://www.oop-konferenz.de/;OOP 2026 – Software-Architektur
2;Will;Ahmed;Whoop;Sports Technology;;;https://omr.com/;OMR Festival 2026
3;Leonardo;Aizpuru;Nespresso;Marketing / Brand;;;https://omr.com/;OMR Festival 2026
4;Tim;Alexander;Deutsche Bank (CMO);Marketing / Finance;;;https://dmexco.com/;DMEXCO 2026
5;Elke;Anderl;T-Systems;Industrial AI Cloud;;;https://www.t-systems.com/;Hamburger IT-Strategietage
6;Keith;Atherton;;Power Platform Architecture;MVP;;https://www.communitydays.org/;ColorCloud 2026
7;Florian;Augthun;Ströer SE;Cyber Security Architecture;;;https://dach.cyberseries.io/;DACHsec IT Security Summit 2026
8;Carsten;Bange;BARC;Data Analytics / BI / AI;Dr.;;https://www.techshowfrankfurt.de/;Tech Show Frankfurt, DATA festival München
9;Bärbel;Bas;Bundesregierung;BM Arbeit & Soziales;;;https://www.bitkom.org/;Bitkom TRANSFORM 2026
10;Klaus;Bauer;;Head of Research / Cloud Security;;;https://www.we-conect.com/;Rethink! Cloud & Infrastructure Security
11;Patrick;Baumgartner;;Java Development;;;https://www.javaland.eu/;JavaLand 2026
12;Eric;Berg;;Azure / Cloud;Microsoft MVP;;https://www.cdc-germany.de/;Cloud & Datacenter Conference Germany
13;Adam;Bien;adam-bien.com;Java / Cloud Native;;;http://adam-bien.com/;OOP 2026 – Software-Architektur, JavaLand 2026
14;Matthias;Blatz;Heidelberg iT Management;AI / Data Center;;;https://www.ai-conference.de/;AI Conference: Science x Business
15;Stefan;Blome;ALSO;CCO / IT-Channel;;;https://www.also.de/;ALSO Channel Trends & Visions
16;Kathrin;Borchert;;Power BI & Fabric Administration;MVP;;https://www.communitydays.org/;ColorCloud 2026
17;Bruno;Borges;;Java Development;;;https://www.javaland.eu/;JavaLand 2026
18;Tom;Brady;;Business / Entrepreneurship;;;https://omr.com/;OMR Festival 2026
19;Franziska;Brantner;Die Grünen;AI Policy;Dr.;;https://bigbangfestival.de/;BIG BANG KI Festival
20;Carsten;Breuer;Bundeswehr;Generalinspekteur;;;https://www.bitkom.org/;Bitkom TRANSFORM 2026
21;Hartje;Bruns;Governikus;Digital Identity;;;https://www.governikus.de/;OmniSecure 2026
22;Katarzyna;Bukowska;;Cyber Security Operations;;;https://dach.cyberseries.io/;DACHsec IT Security Summit 2026
23;Thorsten;Butz;IT-Trainer;M365 / Azure / Modern Work;Microsoft MVP;;https://www.communitydays.org/;Pottconf 2026
24;Dorothee;Bär;Bundesregierung;Digitalpolitik;;;https://aidaq.berlin/;AI & Data Summit / Quantum Summit
25;Immanuel;Bär;;White-Hat-Hacker / Cybersecurity;;;https://www.inno-it.de/;INNO IT Kiel
26;Detlef;Bäumer;PICTURE GmbH;Prozessmanagement / Change;;;https://kommdigitale.de/;KommDigitale 2026
27;Lina;Böcker;;Datenschutz / IT-Recht / AI-Regulierung;Dr.;;https://www.datenschutzkongress.de/;Datenschutzkongress 2026
28;Aimie-Sarah;Carstensen;;E-Commerce / Retail (Gründerin);;;https://konferenz.k5.de/;K5 Konferenz 2026
29;Nikki;Chapple;;M365 / Governance;Microsoft MVP;;https://collabsummit.eu/;European Collaboration Summit
30;Andrew;Connell;;M365 / Copilot;Microsoft MVP;;https://collabsummit.eu/;European Collaboration Summit
31;Petya;Dasheva;;Data Strategy / Human-Centered Analytics;;;https://www.techshowfrankfurt.de/;Tech Show Frankfurt
32;Franz;Decker;BMW;CIO / Digital Transformation;;;https://www.it-strategietage.de/;Hamburger IT-Strategietage
33;Kim;Duggen;embarc GmbH;Software-Architektur;;;https://www.oop-konferenz.de/;OOP 2026 – Software-Architektur
34;Alexander;Dumke;;Global eCommerce;;;https://konferenz.k5.de/;K5 Konferenz 2026
35;Scott;Durow;Microsoft;Power Platform / Vibe Engineering;;;https://www.communitydays.org/;ColorCloud 2026
36;Wolfgang;Ehrk;DIERCK GROUP (CEO);IT-Panel;;;https://www.inno-it.de/;INNO IT Kiel
37;Chris;Engelbert;;PostgreSQL / Async I/O;;;https://2026.pgconf.de/;PostgreSQL Conference Germany
38;Markus;Engelke;Munich Re;Enterprise Cybersecurity;;;https://cybersecuritysumm.it/;Cybersecurity Summit Hamburg
39;Pablo;Erat;On AG / LightSpray;Industrial Technology;;;https://www.hannovermesse.de/;Hannover Messe 2026
40;Alexander;Erpenbach;;E-Commerce / Versicherung;;;https://konferenz.k5.de/;K5 Konferenz 2026
41;Tobias;Fehenberger;Adva Network Security;Quantum-Safe Cryptography;;;https://www.omnisecure.berlin/;OmniSecure 2026
