"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"Microsoft CSP";"Cloud Solution Provider Lizenzmodell.";"CSP ist ein Vertriebskanal, ueber den Microsoft-Partner M365-, Azure- und Dynamics-Lizenzen monatlich oder jaehrlich an Kunden verkaufen und verwalten. Der Partner ist erster Ansprechpartner fuer Abrechnung und Support. CSP-Direct und CSP-Indirect unterscheiden sich in Mindestanforderungen.";"Monatlich oder jaehrlich kuendbar; Preise ueber Partner.";"https://learn.microsoft.com/partner-center/csp-overview"
"Enterprise Agreement";"Volumenlizenzvertrag fuer grosse Organisationen.";"Ein EA ist ein 3-Jahres-Vertrag ab 500 Benutzern/Geraeten mit Vorauszahlung (Monetary Commitment fuer Azure) und jaehrlichem True-Up. EA bietet die niedrigsten Stueckpreise und Software Assurance. EA wird schrittweise durch Microsoft Customer Agreement (MCA) ergaenzt.";"3-Jahres-Vertrag; jaehrliche Abrechnung; Mindestbestellmenge.";"https://www.microsoft.com/licensing/licensing-programs/enterprise"
"NCE";"New Commerce Experience fuer M365 und Dynamics.";"NCE ist Microsofts aktuelles Lizenzmodell fuer Seat-basierte Abonnements (M365, Dynamics, Power Platform). Merkmale: monatliche oder jaehrliche Laufzeit, automatische Verlaengerung, eingeschraenkte Kuendigungsmoeglichkeit bei Jahreslaufzeit, Preisanpassungen bei Renewal.";"Monatlich (Aufpreis ca. 20%) oder jaehrlich; ueber CSP oder Direktkauf.";"https://learn.microsoft.com/partner-center/new-commerce-experience-overview"
"Microsoft Customer Agreement";"Standardvertrag fuer Microsoft-Cloud-Dienste.";"Das MCA ersetzt schrittweise den MOSP- und EA-Vertrag als einheitlicher Kundenvertrag fuer Azure, M365 und Dynamics. Kunden akzeptieren die Vereinbarung digital. MCA regelt Nutzungsbedingungen, Datenschutz und Zahlungskonditionen.";"Kostenlos (Vertragsrahmen); Produktkosten abhaengig vom Abonnement.";"https://learn.microsoft.com/microsoft-365/commerce/billing-and-payments/microsoft-customer-agreement"
"True-Up";"Jaehrliche Nachmeldung zusaetzlicher Lizenzen im EA.";"Beim jaehrlichen True-Up melden EA-Kunden neue Benutzer, Geraete oder Workloads nach, die seit dem letzten Stichtag hinzugekommen sind. Unterlizenzierung fuehrt zu Nachzahlungen. Regelmaessige interne Lizenz-Audits minimieren Ueberraschungen beim True-Up.";"Im EA-Vertrag geregelt.";"https://www.microsoft.com/licensing/licensing-programs/enterprise"
"Software Assurance";"Wartungs- und Upgrade-Programm fuer Volumenlizenzen.";"Software Assurance (SA) berechtigt zu neuen Softwareversionen waehrend der Vertragslaufzeit, Trainings-Vouchers, Deployment Planning Services und speziellen Rechten (z. B. Azure Hybrid Benefit). SA ist in EA enthalten und fuer MPSA/Open optional.";"Im EA enthalten; bei anderen Programmen separat erwerbbar.";"https://www.microsoft.com/licensing/licensing-programs/software-assurance-default"
"Azure Hybrid Benefit";"Lizenzvorteil fuer on-premises-Lizenzen in Azure.";"Azure Hybrid Benefit (AHUB) erlaubt es, bestehende Windows Server- und SQL Server-Lizenzen mit Software Assurance in Azure-VMs zu nutzen und so bis zu 85% Compute-Kosten zu sparen. Auch fuer AKS, Azure SQL und Red Hat/SUSE verfuegbar.";"Erfordert aktive Software Assurance oder Subscription-Lizenz.";"https://learn.microsoft.com/azure/cost-management-billing/reservations/azure-hybrid-benefit"
"M365 Business Basic";"Einstiegsplan fuer Cloud-Dienste ohne Desktop-Apps.";"M365 Business Basic bietet Exchange Online, SharePoint, OneDrive, Teams und Web-Apps (Word, Excel, PowerPoint Online). Keine Desktop-Office-Installation. Geeignet fuer KMU mit reinem Cloud-Fokus und Nutzung im Browser.";"Per User/Monat; bis 300 Benutzer.";"https://www.microsoft.com/microsoft-365/business/microsoft-365-business-basic"
"M365 Business Standard";"KMU-Plan mit Desktop-Apps und Cloud-Diensten.";"M365 Business Standard ergaenzt Business Basic um die Desktop-Installation der Office-Apps (Word, Excel, PowerPoint, Outlook, Access, Publisher) plus Bookings, Clipchamp und erweiterte Teams-Funktionen. Standard fuer die meisten KMU.";"Per User/Monat; bis 300 Benutzer.";"https://www.microsoft.com/microsoft-365/business/microsoft-365-business-standard"
"M365 Business Premium";"KMU-Plan mit Security und Geraeteverwaltung.";"M365 Business Premium erweitert Business Standard um Intune, Defender for Business, Entra ID P1, Conditional Access, Azure Information Protection P1 und Purview DLP. Der umfassendste Plan fuer KMU mit Sicherheitsanforderungen.";"Per User/Monat; bis 300 Benutzer.";"https://www.microsoft.com/microsoft-365/business/microsoft-365-business-premium"
"M365 E3";"Enterprise-Plan mit erweiterter Security und Compliance.";"M365 E3 umfasst Office Desktop-Apps, Exchange Online, SharePoint, Teams, Entra ID P1, Intune Plan 1, Windows E3, Information Protection und grundlegende Purview-Compliance-Funktionen. Standard fuer Enterprise-Umgebungen.";"Per User/Monat; unbegrenzte Benutzerzahl.";"https://www.microsoft.com/microsoft-365/enterprise/e3"
"M365 E5";"Enterprise-Premium-Plan mit Advanced Security und Analytics.";"M365 E5 ergaenzt E3 um Entra ID P2, Defender for Office 365 Plan 2, Defender for Endpoint Plan 2, Defender for Identity, Defender for Cloud Apps, Microsoft Sentinel-Credits, Power BI Pro, Telefonie (Phone System) und erweiterte Purview-Compliance (Insider Risk, Advanced Audit, eDiscovery Premium).";"Per User/Monat; Premium-Preis.";"https://www.microsoft.com/microsoft-365/enterprise/e5"
"M365 F1 / F3";"Frontline-Worker-Plaene mit eingeschraenktem Funktionsumfang.";"M365 F1 bietet Teams, SharePoint (Lesen), Exchange (Kiosk-Postfach, 2 GB), Web-Apps und Entra ID P1. F3 ergaenzt um Office-Web-Apps, Exchange (2 GB), OneDrive (2 GB) und Intune. Fuer Mitarbeitende ohne eigenen Desktop-PC (Produktion, Einzelhandel, Logistik).";"Per User/Monat; deutlich guenstiger als E-Plaene.";"https://www.microsoft.com/microsoft-365/enterprise/frontline"
"Add-on-Lizenzen";"Ergaenzende Lizenzen zu bestehenden M365-Plaenen.";"Add-on-Lizenzen erweitern Basisplaene um einzelne Funktionen: Copilot for M365, Teams Premium, Teams Phone, Intune Plan 2, Purview Compliance, Power Automate Premium, Visio, Project, Azure AD P2 u.v.m. Sie erfordern einen qualifizierenden Basisplan.";"Per User/Monat oder per Feature; Basisplan erforderlich.";"https://learn.microsoft.com/microsoft-365/commerce/licenses/buy-licenses"
"Lizenz-Audit";"Pruefung der Lizenz-Compliance durch Microsoft oder intern.";"Microsoft fuehrt regelmaessig Lizenz-Audits (Software Asset Management Reviews) bei Kunden durch, um Unterlizenzierung aufzudecken. Interne SAM-Prozesse (Self-Assessment, SAM-Tools, Lizenz-Reporting) minimieren das Audit-Risiko und optimieren Kosten.";"SAM-Tools kostenpflichtig (Snow, Flexera); internes Reporting per Admin Center und PowerShell.";"https://www.microsoft.com/sam"
"Azure Reservations";"Vorab-Buchung von Azure-Ressourcen fuer Rabatte.";"Azure Reservations bieten 1- oder 3-Jahres-Vorauszahlung fuer VMs, SQL, Cosmos DB, Storage u.v.m. mit Rabatten von 30-72% gegenueber Pay-as-you-go. Reservierungen sind tauschbar und teilweise erstattungsfaehig. Azure Advisor empfiehlt passende Reservierungen.";"1- oder 3-Jahres-Commitment; Ersparnis gegenueber PAYG.";"https://learn.microsoft.com/azure/cost-management-billing/reservations/save-compute-costs-reservations"
"Azure Savings Plans";"Flexible Compute-Rabatte ohne VM-Groessenbindung.";"Azure Savings Plans bieten Rabatte auf Compute-Dienste (VMs, App Service, Functions, AKS) ohne Bindung an eine bestimmte VM-Groesse oder -Region. 1- oder 3-Jahres-Commitment mit stuendlichem Verbrauchsbudget. Flexibler als Reservierungen, etwas geringerer Rabatt.";"1- oder 3-Jahres-Commitment.";"https://learn.microsoft.com/azure/cost-management-billing/savings-plan/savings-plan-compute-overview"
"Preisharmonisierung EUR 2026";"Microsoft-Preisanpassung fuer EUR-Abrechnung.";"Microsoft hat im Februar 2026 eine EUR-Preisharmonisierung fuer M365- und Azure-Lizenzen durchgefuehrt, um Wechselkurs-Schwankungen auszugleichen. DACH-Kunden wurden per Message Center und Partner informiert. Preisunterschiede zur USD-Abrechnung wurden angeglichen.";"Betrifft alle EUR-abrechnenden Kunden (CSP, MCA, EA).";"https://learn.microsoft.com/partner-center/pricing-and-offers"
"MOSP / PAYG";"Direkter Online-Kauf von Microsoft-Cloud-Diensten.";"Microsoft Online Subscription Program (MOSP) bzw. Pay-as-you-go ist der Direktkauf-Kanal ueber microsoft.com oder das Azure-Portal ohne Partnervertrag. Geeignet fuer kleine Umgebungen und Tests. Keine Mengenrabatte, monatliche Abrechnung per Kreditkarte.";"Monatlich kuendbar; Listenpreise ohne Rabatt.";"https://azure.microsoft.com/pricing/purchase-options/azure-account"
"Gruppenbasierte Lizenzierung";"Automatische Lizenzzuweisung ueber Entra-ID-Gruppen.";"Gruppenbasierte Lizenzierung weist M365-Lizenzen automatisch allen Mitgliedern einer Entra-ID-Sicherheitsgruppe zu. Beim Gruppenbeitritt wird die Lizenz zugewiesen, beim Austritt entzogen. Fehler (z. B. zu wenig Lizenzen) werden im Admin Center angezeigt.";"Erfordert Entra ID P1 (in M365 E3 enthalten).";"https://learn.microsoft.com/entra/identity/users/licensing-groups-assign"
"Self-Service Purchase";"Eigenstaendiger Lizenzkauf durch Endbenutzer.";"Self-Service Purchase erlaubt Benutzern, Power Platform-, Visio- und Project-Lizenzen eigenstaendig per Kreditkarte zu kaufen. IT-Admins koennen Self-Service Purchase per PowerShell (MSCommerce-Modul) deaktivieren, um Shadow-IT zu verhindern.";"Per User/Monat; per Kreditkarte des Benutzers.";"https://learn.microsoft.com/microsoft-365/commerce/subscriptions/manage-self-service-purchases-admins"
"Windows E3 / E5";"Windows-Enterprise-Lizenzen als Subscription.";"Windows E3 und E5 bieten Enterprise-Features (Credential Guard, App Control, DirectAccess) als User-Subscription statt per Geraet. E5 ergaenzt Windows Defender Application Guard und erweiterte Sicherheitsfunktionen. Voraussetzung: Windows Pro auf dem Geraet.";"Per User/Monat; in M365 E3/E5 enthalten.";"https://www.microsoft.com/microsoft-365/windows/enterprise"
"EMS E3 / E5";"Enterprise Mobility + Security Lizenzbundle.";"EMS E3 buendelt Entra ID P1, Intune Plan 1, Azure Information Protection P1 und Advanced Threat Analytics. EMS E5 ergaenzt Entra ID P2, Intune Plan 2, Azure Information Protection P2 und Defender for Cloud Apps. EMS ist in M365 E3/E5 enthalten.";"Per User/Monat; in M365 E3/E5 enthalten oder separat.";"https://www.microsoft.com/security/business/microsoft-entra-pricing"
"Compliance Add-ons";"Erweiterte Purview-Compliance-Lizenzen.";"Microsoft bietet mehrere Compliance-Add-ons: Purview Audit Premium, eDiscovery Premium, Information Protection, Insider Risk Management, Communication Compliance und Records Management. Sie erweitern M365 E3 um E5-Compliance-Features ohne vollen E5-Preis.";"Per User/Monat als Add-on zu E3 oder E5.";"https://learn.microsoft.com/microsoft-365/compliance/microsoft-365-compliance-center"
"Defender-Einzellizenzen";"Separat lizenzierbare Microsoft-Defender-Produkte.";"Einzelne Defender-Produkte koennen ohne M365 E5 lizenziert werden: Defender for Endpoint Plan 1/2, Defender for Office 365 Plan 1/2, Defender for Identity, Defender for Cloud Apps. Dies ermoeglicht gezielten Security-Ausbau auf E3-Basis.";"Per User/Monat als Add-on.";"https://learn.microsoft.com/defender-endpoint/defender-endpoint-plan-1-2"
