"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"Group Policy Objects";"Zentrale Konfigurationsrichtlinien fuer AD-Objekte.";"GPOs steuern Sicherheitseinstellungen, Softwareverteilung, Skriptausfuehrung, Laufwerkmappings, Drucker und hunderte weitere Einstellungen fuer Benutzer und Computer in Active-Directory-Umgebungen. GPOs werden auf OU-, Domaenen- oder Site-Ebene verlinkt. GPMC (Group Policy Management Console) und gpresult dienen der Verwaltung und Diagnose.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/identity/ad-ds/manage/group-policy/group-policy-overview"
"WSUS";"Windows Server Update Services fuer zentrales Patchmanagement.";"WSUS laedt Microsoft-Updates herunter und verteilt sie kontrolliert an Clients und Server. Genehmigungsworkflows, Computergruppen und Reporting steuern den Rollout. WSUS wird zunehmend durch Intune (WUfB) und Azure Update Manager ergaenzt oder ersetzt.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/administration/windows-server-update-services/get-started/windows-server-update-services-wsus"
"DFS Namespaces";"Einheitliche Pfade fuer verteilte Dateifreigaben.";"DFS-Namespaces (DFS-N) buendeln mehrere Dateifreigaben unter einem einheitlichen UNC-Pfad (\\domain\namespace). Benutzer greifen auf einen logischen Pfad zu, waehrend die physischen Server im Hintergrund transparent gewechselt werden koennen. Domaenen- und Standalone-Namespaces sind verfuegbar.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/storage/dfs-namespaces/dfs-overview"
"DFS Replication";"Dateireplikation zwischen mehreren Servern.";"DFS-Replikation (DFS-R) synchronisiert Ordnerinhalte zwischen Servern per Remote Differential Compression (RDC). Einsatz: standortuebergreifende Dateifreigaben, SYSVOL-Replikation (ab AD 2008 R2). Konfliktaufloesung, Bandbreitensteuerung und Staging-Folder sind konfigurierbar.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/storage/dfs-replication/dfsr-overview"
"FSRM";"Dateiserver-Ressourcenverwaltung fuer Kontingente und Screening.";"File Server Resource Manager verwaltet Kontingente (Soft/Hard Quotas), Dateiklassifizierung, Dateiueberwachungsrichtlinien (File Screening) und Storage Reports. Typisch: Blockierung von .exe/.mp3 auf Dateifreigaben, Warnung bei Kontingenterschoepfung.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/storage/fsrm/fsrm-overview"
"Windows Admin Center";"Browserbasiertes Verwaltungstool fuer Windows Server.";"Windows Admin Center (WAC) verwaltet Server, Cluster, VMs und Azure-Hybrid-Szenarien ueber eine moderne Web-Oberflaeche. Es ersetzt schrittweise klassische MMC-Snap-ins. Features: Server Manager, Event Viewer, Firewall, Zertifikate, Registry, PowerShell-Konsole und Azure-Integration.";"Kostenlos; Installation als Gateway auf Windows Server oder Windows 10/11.";"https://learn.microsoft.com/windows-server/manage/windows-admin-center/overview"
"Server Core";"Headless-Installationsoption ohne GUI.";"Windows Server Core verzichtet auf die grafische Oberflaeche und reduziert Angriffsflaeche, Ressourcenverbrauch und Patch-Umfang. Verwaltung per PowerShell, Windows Admin Center, RSAT oder Remote Desktop. Empfohlen fuer Produktionsserver (Domain Controller, File Server, Hyper-V).";"In Windows Server Standard und Datacenter enthalten.";"https://learn.microsoft.com/windows-server/administration/server-core/what-is-server-core"
"Active Directory Certificate Services";"Interne Zertifizierungsstelle auf Windows-Server-Basis.";"AD CS stellt eine Enterprise-CA bereit, die Zertifikate fuer Benutzer, Computer, Webserver, Code Signing und Smartcards ausstellt. Certificate Templates, Auto-Enrollment per GPO und OCSP-Responder sind Kernfunktionen. Sicherheitshaertung der CA-Hierarchie ist kritisch.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/identity/ad-cs/active-directory-certificate-services-overview"
"LAPS";"Lokale Admin-Passwortverwaltung per Active Directory.";"Local Administrator Password Solution (LAPS) generiert und rotiert einzigartige lokale Admin-Passwoerter pro Computer und speichert sie verschluesselt in Active Directory oder Entra ID. Windows LAPS (ab Windows Server 2019/Windows 10 21H2) ist die native Nachfolgeloesung der Legacy-LAPS-MSI.";"Windows LAPS in Windows enthalten; Legacy LAPS kostenloser Download.";"https://learn.microsoft.com/windows-server/identity/laps/laps-overview"
"Failover Clustering";"Hochverfuegbarkeitscluster fuer Windows-Server-Workloads.";"Windows Failover Clustering buendelt mehrere Server zu einem Cluster, der Workloads (Hyper-V-VMs, SQL Server, File Server, Exchange DAG) bei Knotenausfall automatisch auf ueberlebende Knoten verschiebt. Quorum-Konfiguration, Cluster Shared Volumes (CSV) und Live Migration sind Kernkonzepte.";"In Windows Server Standard (2 Knoten) und Datacenter (unbegrenzt) enthalten.";"https://learn.microsoft.com/windows-server/failover-clustering/failover-clustering-overview"
"Storage Spaces Direct";"Software-Defined Storage fuer hyperkonvergente Cluster.";"S2D buendelt lokale Festplatten mehrerer Server zu einem gemeinsamen, redundanten Speicherpool ohne externes SAN. Einsatz in HCI-Szenarien (Hyper-Converged Infrastructure) mit Hyper-V. Tiering (SSD + HDD), Mirror, Parity und Erasure Coding sind konfigurierbar.";"In Windows Server Datacenter enthalten.";"https://learn.microsoft.com/windows-server/storage/storage-spaces/storage-spaces-direct-overview"
"Windows Server Backup";"Integrierte Sicherungsloesung fuer Windows Server.";"Windows Server Backup (wbadmin) erstellt Voll- und Inkrementalsicherungen von Volumes, System State, Dateien und Bare-Metal-Recovery-Images. Fuer Enterprise-Szenarien wird es durch Veeam, Azure Backup oder DPM ersetzt.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/administration/windows-server-backup/windows-server-backup"
"Remote Desktop Services";"Terminalserver fuer zentralisierte Desktop-Bereitstellung.";"RDS stellt sitzungsbasierte Desktops und RemoteApps ueber RDP bereit. Komponenten: RD Session Host, RD Connection Broker, RD Web Access, RD Gateway und RD Licensing. Einsatz: zentralisierte Anwendungen, Thin-Client-Umgebungen, Fernzugriff fuer Aussenstellen.";"RDS CALs (per User oder per Device) zusaetzlich zur Windows-Server-Lizenz.";"https://learn.microsoft.com/windows-server/remote/remote-desktop-services/welcome-to-rds"
"BitLocker";"Volldatentraegerverschluesselung fuer Windows.";"BitLocker verschluesselt komplette Laufwerke (OS, Daten, Wechseldatentraeger) mit AES-128 oder AES-256. TPM-Chip sichert den Startvorgang. Wiederherstellungsschluessel werden in AD DS oder Entra ID gespeichert. BitLocker-Verwaltung per GPO, Intune oder MBAM.";"In Windows Pro, Enterprise und Server enthalten; Verwaltung ueber Intune in M365 E3/E5.";"https://learn.microsoft.com/windows/security/operating-system-security/data-protection/bitlocker/"
"Windows Defender Firewall";"Host-basierte Firewall fuer Windows-Clients und -Server.";"Die Windows Defender Firewall filtert ein- und ausgehenden Netzwerkverkehr pro Netzwerkprofil (Domain, Private, Public). Regeln werden per GPO, Intune oder PowerShell (New-NetFirewallRule) verwaltet. Advanced Security bietet IPsec-Integration und Connection Security Rules.";"In Windows enthalten.";"https://learn.microsoft.com/windows/security/operating-system-security/network-security/windows-firewall/"
"RSAT";"Remote Server Administration Tools fuer Windows-Clients.";"RSAT installiert Verwaltungs-Snap-ins (AD Users and Computers, DNS, DHCP, GPO Management etc.) auf Windows-Clients, damit Admins Server remote verwalten koennen. Ab Windows 10 1809 werden RSAT-Komponenten als Features on Demand installiert.";"In Windows Pro und Enterprise enthalten.";"https://learn.microsoft.com/windows-server/remote/remote-server-administration-tools"
"NPS / RADIUS";"Netzwerkrichtlinienserver fuer Authentifizierung und Autorisierung.";"Network Policy Server (NPS) ist die Microsoft-Implementierung von RADIUS fuer 802.1X-Authentifizierung (WLAN, VPN, Switch-Port-Access). NPS prueft Anmeldedaten gegen Active Directory und wendet Netzwerkrichtlinien (Verbindungsanforderungen, Zugriffsbedingungen) an.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/networking/technologies/nps/nps-top"
"Windows Event Log";"Zentrales Protokollierungssystem fuer Windows-Ereignisse.";"Das Windows Event Log (Application, Security, System, Setup) protokolliert Systemmeldungen, Sicherheitsereignisse, Anwendungsfehler und Audit-Eintraege. Event Forwarding, Windows Event Collector und Log-Analytics-Integration ermoeglichen zentrale Auswertung. Event IDs sind Basis fuer Troubleshooting und Security Monitoring.";"In Windows enthalten.";"https://learn.microsoft.com/windows/win32/eventlog/event-logging"
"IIS";"Microsofts Webserver fuer Windows Server.";"Internet Information Services (IIS) hostet Websites, Webanwendungen und APIs auf Windows Server. IIS wird fuer Exchange OWA/ECP, ADFS, WSUS, SCCM und benutzerdefinierte .NET-Anwendungen eingesetzt. Konfiguration ueber IIS Manager, appcmd oder PowerShell (WebAdministration-Modul).";"In Windows Server enthalten.";"https://learn.microsoft.com/iis/get-started/introduction-to-iis/iis-web-server-overview"
"Windows Deployment Services";"Netzwerkbasierte OS-Bereitstellung per PXE.";"WDS stellt Windows-Images per PXE-Boot ueber das Netzwerk bereit. Unattended-XML-Dateien automatisieren die Installation. WDS wird zunehmend durch Microsoft Deployment Toolkit (MDT), Autopilot und Intune ersetzt, bleibt aber fuer On-Premises-Imaging relevant.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows/deployment/wds-boot-support"
"Shadow Copies";"Schreibgeschuetzte Snapshots von Dateifreigaben.";"Volume Shadow Copy Service (VSS) erstellt zeitpunktbezogene Snapshots von Dateifreigaben, die Benutzer ueber den Tab Vorgaengerversionen selbst wiederherstellen koennen. Konfiguration per Volume-Zeitplan. Shadow Copies ersetzen kein Backup, ergaenzen es aber effektiv.";"In Windows Server enthalten.";"https://learn.microsoft.com/windows-server/storage/file-server/volume-shadow-copy-service"
