Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
Azure Subscription;Abrechnungs- und Verwaltungsgrenze fuer Azure-Ressourcen.;Eine Azure Subscription ist der Container, unter dem Ressourcen bereitgestellt und abgerechnet werden. Sie definiert Berechtigungsgrenzen, Budgets und Richtlinienbereiche. Mehrere Subscriptions lassen sich ueber Management Groups hierarchisch organisieren.;"Pay-as-you-go, EA, CSP oder MOSP; kostenlose Testversion verfuegbar.";https://learn.microsoft.com/azure/cost-management-billing/manage/create-subscription
Resource Group;Logischer Container fuer zusammengehoerige Azure-Ressourcen.;Eine Resource Group buendelt Azure-Ressourcen, die denselben Lebenszyklus, dieselben Berechtigungen oder dasselbe Projekt teilen. RBAC-Rollen, Tags und Policies koennen auf Ressourcengruppenebene zugewiesen werden. Das Loeschen einer Gruppe entfernt alle enthaltenen Ressourcen.;"Keine separaten Kosten; Teil jeder Azure Subscription.";https://learn.microsoft.com/azure/azure-resource-manager/management/manage-resource-groups-portal
Virtual Network;Isoliertes Netzwerk in Azure fuer Subnetze, Dienste und Sicherheitsregeln.;Ein Azure Virtual Network (VNet) ist das Fundament der Netzwerkarchitektur in Azure. Es ermoeglicht private IP-Adressierung, Subnetze, DNS-Einstellungen, Peering, Service Endpoints und Private Endpoints. VNets sind regional begrenzt, koennen aber per Peering oder VPN verbunden werden.;"Keine Grundkosten fuer VNets; Peering und Gateway erzeugen Datenverkehrskosten.";https://learn.microsoft.com/azure/virtual-network/virtual-networks-overview
Network Security Group;Regelbasierte Netzwerkfilterung auf Subnetz- oder NIC-Ebene.;Eine NSG enthaelt Eingangs- und Ausgangsregeln mit Prioritaeten, die Netzwerkverkehr nach Quelle, Ziel, Port und Protokoll erlauben oder verweigern. NSGs werden auf Subnetze oder einzelne Netzwerkschnittstellen angewendet und sind ein Kernbaustein der Azure-Netzwerksicherheit.;"Keine separaten Kosten; in jeder Azure Subscription verfuegbar.";https://learn.microsoft.com/azure/virtual-network/network-security-groups-overview
Azure App Service;Verwalteter PaaS-Dienst fuer Webanwendungen und APIs.;Azure App Service hostet Web-Apps, REST-APIs und mobile Backends ohne eigenen Serverbetrieb. Unterstuetzt werden .NET, Java, Node.js, Python, PHP und Container. Features: Auto-Scaling, Deployment Slots, benutzerdefinierte Domaenen, SSL und CI/CD-Integration.;"Free- und Shared-Tier verfuegbar; Basic, Standard, Premium und Isolated fuer Produktion.";https://learn.microsoft.com/azure/app-service/overview
Azure Functions;Serverlose, ereignisgesteuerte Code-Ausfuehrung.;Azure Functions fuehrt Code auf Basis von Triggern (HTTP, Timer, Queue, Event Grid u.v.m.) aus und skaliert automatisch. Unterstuetzt C#, JavaScript, Python, Java, PowerShell und weitere Sprachen. Ideal fuer Microservices, Integrationen und Eventverarbeitung.;"Consumption Plan: Pay-per-Execution; Premium und Dedicated Plan fuer konstante Last.";https://learn.microsoft.com/azure/azure-functions/functions-overview
Azure Storage Account;Zentraler Container fuer Blobs, Files, Queues und Tables.;Ein Azure Storage Account stellt den Zugang zu den Speicherdiensten Blob, File, Queue und Table bereit. Er definiert Redundanz (LRS, ZRS, GRS, RA-GRS), Zugriffsebenen (Hot, Cool, Cold, Archive) und Sicherheitseinstellungen wie Verschluesselung und Private Endpoints.;Pay-as-you-go nach Speichermenge, Transaktionen und Datenverkehr.;https://learn.microsoft.com/azure/storage/common/storage-account-overview
Azure Blob Storage;Hochskalierbarer Objektspeicher fuer unstrukturierte Daten.;Azure Blob Storage speichert Dateien, Backups, Medien, Logs und beliebige Binaerdaten als Blobs in Containern. Zugriffsebenen (Hot, Cool, Cold, Archive) optimieren Kosten nach Zugriffshaeufigkeit. Lifecycle-Management-Regeln automatisieren die Tier-Verschiebung.;Kosten nach Speichermenge, Zugriffsebene und Transaktionen.;https://learn.microsoft.com/azure/storage/blobs/storage-blobs-introduction
Azure Files;Cloud-basierte SMB/NFS-Dateifreigaben.;Azure Files stellt vollstaendig verwaltete Dateifreigaben bereit, die per SMB oder NFS eingebunden werden koennen. Szenarien: Lift-and-Shift von Fileshares, gemeinsam genutzte Konfigurationen, Home-Verzeichnisse. Azure File Sync ermoeglicht hybride Caching-Szenarien.;"Standard (HDD) und Premium (SSD); Abrechnung nach Kapazitaet und Transaktionen.";https://learn.microsoft.com/azure/storage/files/storage-files-introduction
Azure Backup;Zentrale Datensicherung fuer Azure- und Hybrid-Workloads.;Azure Backup sichert VMs, SQL-Datenbanken, Azure Files, Blobs, SAP HANA und on-premises-Server in Recovery Services oder Backup Vaults. Richtlinien steuern Zeitplaene, Aufbewahrung und Geo-Redundanz. MARS-Agent und DPM/MABS erweitern den Schutz auf lokale Systeme.;Pay-as-you-go nach geschuetzter Instanzgroesse und Speicherverbrauch.;https://learn.microsoft.com/azure/backup/backup-overview
