"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"Microsoft Copilot";"KI-Assistent integriert in Windows, Edge und Bing.";"Microsoft Copilot ist der KI-Chatassistent, der in Windows 11, Edge, Bing und als Web-App verfuegbar ist. Er beantwortet Fragen, erstellt Texte, generiert Bilder und hilft bei Alltags- und Rechercheaufgaben. Copilot nutzt OpenAI-Modelle und ist von Copilot for Microsoft 365 (arbeitsplatzgebunden) zu unterscheiden.";"Kostenlos in Windows/Edge; Copilot Pro als Abo fuer erweiterte Features.";"https://learn.microsoft.com/copilot/"
"Copilot for Microsoft 365";"KI-Assistent im Kontext von M365-Unternehmensdaten.";"Copilot for Microsoft 365 nutzt GPT-4-Modelle im Graph-Kontext des Tenants, um in Word, Excel, PowerPoint, Outlook, Teams und weiteren Apps Inhalte zu erstellen, zusammenzufassen und zu analysieren. Daten bleiben im Tenant-Sicherheitsrahmen. Prerequisite: saubere Berechtigungsstruktur und Sensitivity Labels.";"Kostenpflichtiges Add-on; setzt M365 E3/E5 oder Business Standard/Premium voraus.";"https://learn.microsoft.com/copilot/microsoft-365/microsoft-365-copilot-overview"
"Microsoft Copilot Studio";"Low-Code-Plattform fuer benutzerdefinierte KI-Agenten.";"Copilot Studio (Nachfolger von Power Virtual Agents) ermoeglicht die Erstellung eigener Copilot-Agenten mit generativen Antworten, Datenquellen-Anbindung (SharePoint, Dataverse, Websites) und Aktionen (Power Automate). Agenten werden in Teams, Websites oder eigenen Apps bereitgestellt.";"Separate Lizenz; Messages-basierte Abrechnung.";"https://learn.microsoft.com/microsoft-copilot-studio/fundamentals-what-is-copilot-studio"
"Prompt Engineering";"Technik zur effektiven Formulierung von KI-Eingaben.";"Prompt Engineering beschreibt Methoden, KI-Modelle durch gezielte Anweisungen (Prompts) zu praezisen, nuetzlichen Ergebnissen zu fuehren. Techniken: Rollenzuweisung, Few-Shot-Beispiele, Chain-of-Thought, Kontext-Eingabe und Output-Formatierung. Relevant fuer Copilot, ChatGPT, Claude und lokale LLMs.";"Keine Kosten; Wissen und Praxis.";"https://learn.microsoft.com/azure/ai-services/openai/concepts/prompt-engineering"
"RAG";"Retrieval-Augmented Generation fuer kontextbezogene KI-Antworten.";"RAG kombiniert ein Sprachmodell (LLM) mit einer Wissensdatenbank: Relevante Dokumente werden per Suche abgerufen und dem Modell als Kontext mitgegeben. So liefert die KI praezise, aktuelle Antworten auf Basis interner Daten. Azure AI Search + Azure OpenAI ist eine typische RAG-Architektur.";"Azure OpenAI und Azure AI Search nach Token/Verbrauch; Open-Source-RAG-Stacks verfuegbar.";"https://learn.microsoft.com/azure/search/retrieval-augmented-generation-overview"
"Azure OpenAI Service";"Verwalteter Zugang zu OpenAI-Modellen in Azure.";"Azure OpenAI Service stellt GPT-4, GPT-4o, DALL-E und Embedding-Modelle ueber Azure-Infrastruktur bereit. Vorteile gegenueber OpenAI direkt: Enterprise-Security, Datenresidenz (EU-Regionen), RBAC, Private Endpoints und Azure-Compliance-Zertifizierungen. Einsatz: Chatbots, Dokumentenanalyse, Code-Generierung.";"Pay-as-you-go nach Tokens (Input/Output); Provisioned Throughput fuer garantierte Kapazitaet.";"https://learn.microsoft.com/azure/ai-services/openai/overview"
"Ollama";"Lokale Ausfuehrung von Open-Source-LLMs.";"Ollama ermoeglicht das Herunterladen und Ausfuehren von Open-Source-Sprachmodellen (Llama 3, Mistral, Phi, Gemma etc.) auf lokalem Hardware (CPU oder GPU). REST-API-kompatibel, Docker-faehig und ueber Open WebUI mit Browser-Oberflaeche nutzbar. Ideal fuer datensensible Szenarien ohne Cloud-Abhaengigkeit.";"Kostenlos (Open Source); Hardware-Investition fuer GPU.";"https://ollama.com/"
"Open WebUI";"Webbasierte Chat-Oberflaeche fuer lokale LLMs.";"Open WebUI (ehemals Ollama WebUI) bietet eine ChatGPT-aehnliche Browser-Oberflaeche fuer Ollama, OpenAI-kompatible APIs und weitere Backends. Features: Benutzerverwaltung, RAG-Integration, Dokumenten-Upload, Prompt-Templates und Modellvergleich.";"Kostenlos (Open Source, MIT-Lizenz).";"https://github.com/open-webui/open-webui"
"Lokale KI-Infrastruktur";"On-Premises-Betrieb von KI-Modellen und -Diensten.";"Lokale KI-Infrastruktur umfasst GPU-Server (NVIDIA RTX/A-Serie), Ollama/vLLM fuer Inferenz, Open WebUI fuer Benutzerinteraktion und optionale RAG-Pipelines mit lokalen Vektordatenbanken (ChromaDB, Qdrant). Vorteile: volle Datenkontrolle, DSGVO-konform, keine Cloud-Kosten. Nachteil: Hardware-Investition und Wartung.";"GPU-Hardware; Software ueberwiegend Open Source.";"https://ollama.com/"
"ComfyUI";"Node-basierter Workflow-Editor fuer Bildgenerierung.";"ComfyUI ist eine grafische Oberflaeche fuer Stable Diffusion mit modularem Node-System. Workflows werden als Graphen erstellt (Modell > Prompt > Sampler > Output). Vorteile gegenueber Automatic1111: bessere Kontrolle, Wiederverwendbarkeit und Performance. Laeuft lokal auf NVIDIA-GPUs.";"Kostenlos (Open Source).";"https://github.com/comfyanonymous/ComfyUI"
