NAME;EMAIL;PHONE;INDUSTRY;COMPANY_SIZE;DESCRIPTION;WEBSITE;CITY;ZIP;COUNTRY;FOUNDED_YEAR;EMPLOYEE_COUNT;IS_PARTNER;IS_TOP_PARTNER;IS_SPONSOR;STATUS
ALSO Deutschland GmbH;;;IT-Distribution / Channel;enterprise;IT-Channel- und Distributionsunternehmen mit starkem Microsoft- und Infrastruktur-Fokus.;https://www.also.de/;;;Deutschland;;;1;0;0;active
T-Systems International GmbH;;;Cloud / Enterprise IT;enterprise;Unternehmens- und Public-Sector-IT mit Schwerpunkten auf Cloud, AI und Infrastruktur.;https://www.t-systems.com/;;;Deutschland;;;1;1;0;active
Governikus GmbH & Co. KG;;;Digital Identity / eGovernment;mid-market;Spezialist für digitale Identitäten, eID und sichere Verwaltungsprozesse.;https://www.governikus.de/;;;Deutschland;;;1;0;0;active
BMW Group;;;Automotive / Digital Transformation;enterprise;Automobilkonzern mit CIO- und Digital-Transformation-Themen aus dem Event-Datensatz.;https://www.bmwgroup.com/;;;Deutschland;;;0;0;1;active
Siemens AG;;;Industrial Technology / Software;enterprise;Industrie- und Technologiekonzern mit Architektur-, Automatisierungs- und AI-Bezug.;https://www.siemens.com/;;;Deutschland;;;1;0;0;active
Bosch Sensortec GmbH;;;Sensor Technology / IoT;mid-market;IoT- und Sensortechnologie-Unternehmen aus dem Embedded- und Industrie-Kontext.;https://www.bosch-sensortec.com/;;;Deutschland;;;0;0;0;active
SoftwareOne Deutschland GmbH;;;Cloud / Licensing / Security;enterprise;Cloud-, Security- und Lizenzberatung mit Azure- und Governance-Schwerpunkt.;https://www.softwareone.com/;;;Deutschland;;;1;0;0;active
adesso SE;;;IT-Consulting / Software;enterprise;IT-Beratung und Software-Engineering mit Cloud-, Security- und Migrations-Know-how.;https://www.adesso.de/;;;Deutschland;;;1;0;0;active
SAP SE;;;ERP / Enterprise Software;enterprise;Enterprise-Software-Anbieter mit Fokus auf Business- und Cloud-Plattformen.;https://www.sap.com/;;;Deutschland;;;0;0;0;active
Net at Work GmbH;;;Messaging / Collaboration / Security;mid-market;Spezialist für Exchange, Collaboration, Unified Communications und Security.;https://www.netatwork.de/;;;Deutschland;;;1;0;0;active
Fortinet GmbH;;;Cybersecurity;enterprise;Security-Anbieter für Network Security, Firewalling und Security-Plattformen.;https://www.fortinet.com/;;;Deutschland;;;0;0;1;active
Ceyoniq Technology GmbH;;;DMS / Digital Transformation;mid-market;Software-Anbieter für Dokumentenmanagement und digitale Geschäftsprozesse.;https://www.ceyoniq.com/;;;Deutschland;;;1;0;0;active
FC-Gruppe GmbH;;;Ingenieur- & Digitalisierungsdienstleister;enterprise;Deutscher Ingenieur- und Digitalisierungsdienstleister (Bau, IT, Energie, Gesundheit, Mobilität, Sicherheit). Rund 450 Mitarbeitende an 19 Standorten, Sitz Karlsruhe.;https://www.fc-gruppe.de/;Karlsruhe;;Deutschland;;450;0;0;0;active
FC-Bit GmbH;;;IT-Dienstleistung / Managed Services;small;IT-Beratung, Serviceleistungen und Hard-/Softwarehandel. Teil der FC-Gruppe, hervorgegangen aus der blaich IT GmbH. Sitz Simmersfeld (Schwarzwald).;https://www.fc-gruppe.de/;Simmersfeld;72226;Deutschland;;;0;0;0;active
IT+S GmbH;;;IT-Dienstleistung / ERP / M365;small;Ganzheitlicher IT- und ERP-Partner aus Freudenstadt. Microsoft 365, IP-Telefonie, Managed Services, Dokumentenmanagement.;https://www.itunds.de/;Freudenstadt;;Deutschland;;;0;0;0;active
SNKB IT & PC Service;;;IT-Service / Managed Services;small;Familiengeführtes IT-Systemhaus aus Freudenstadt. IT-Betreuung, Managed Services, Fernwartung und Office 365 für die Region Baiersbronn/Freudenstadt.;https://www.snkb.de/;Freudenstadt;;Deutschland;;;0;0;0;active
itka Systemhaus;;;IT-Service / M365 / Security;small;IT-Service- und Microsoft-365-Dienstleister mit Fokus auf KMU, IT-Sicherheit und Support (Region Würzburg).;https://itka-systemhaus.de/;Würzburg;;Deutschland;;;0;0;0;active
ITANIX GmbH;;;IT-Systemhaus / Cloud / M365;mid-market;Deutschlandweites IT-Systemhaus (8 Standorte) mit Fokus auf M365-/Azure-Migrationen, Modern Workplace und Cyber Security. Microsoft Solution Partner.;https://www.itanix.de/;;;Deutschland;;;0;0;0;active
NIC Systemhaus GmbH;;;IT-Outsourcing / M365;mid-market;IT-Outsourcing für den Mittelstand der Metropolregion Stuttgart. Microsoft 365, Managed Services, IT-Betrieb.;https://www.nic-team.com/;Göppingen;;Deutschland;;;0;0;0;active
Mountain IT;;;Azure / Cloud Consulting;small;Cloud- und Azure-Beratung (Eric Berg, Microsoft MVP). Governance und hybride Infrastruktur.;https://ericberg.de/;;;Deutschland;;;1;0;0;active
Visorian GmbH;;;Azure / Cloud-Native / Security;small;Azure-, Cloud-Native-, Security- und DevOps-Beratung (Jan-Henrik Damaschke, Microsoft MVP).;;;;Deutschland;;;1;0;0;active
nova laboro UG;;;M365 / SharePoint / Azure;small;SharePoint-, M365-, Dynamics- und Intune-Beratung (Nico Thiemer, Microsoft MVP).;https://nicothiemer.de/;;;Deutschland;;;1;0;0;active
Xperts at Work;;;SharePoint / M365 / Azure;small;SharePoint-, M365- und Azure-Beratung mit Datenschutz-Fokus (Nicki Borell, Microsoft MVP / Regional Director).;https://www.nickiborell.com/;;;Deutschland;;;1;0;0;active
Rachfahl IT-Solutions;;;Hyper-V / Azure Stack HCI;small;Spezialist für Hyper-V, Azure Stack HCI und Windows Server (Carsten Rachfahl, Microsoft MVP). Veranstalter der Cloud & Datacenter Conference Germany.;https://www.cdc-germany.de/;;;Deutschland;;;1;0;1;active
