"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"Exchange Server 2019";"Aktuelle On-Premises-Version von Microsoft Exchange.";"Exchange Server 2019 ist die letzte On-Premises-Version mit Mainstream Support. Sie laeuft auf Windows Server 2019 und bietet Postfaecher, OWA, ActiveSync, Transportregeln und Hybrid-Konnektivitaet. CU-Updates (Cumulative Updates) erscheinen quartalsweise. Microsoft empfiehlt die Migration zu Exchange Online.";"Volumenlizenz (Server + CALs); Standard oder Enterprise Edition.";"https://learn.microsoft.com/exchange/new-features/new-features"
"Exchange Server 2016";"Verbreitete On-Premises-Exchange-Version (End of Life 10/2025).";"Exchange Server 2016 ist in vielen Unternehmen noch im Einsatz, erreicht aber im Oktober 2025 das End of Extended Support. Kernfunktionen: Mailbox, Client Access, Transportdienste in einer einheitlichen Serverrolle. Migration zu Exchange Online oder Exchange 2019 ist dringend empfohlen.";"Volumenlizenz (Server + CALs); End of Support Oktober 2025.";"https://learn.microsoft.com/exchange/new-features/new-features-in-exchange-2016"
"Exchange Hybrid Configuration Wizard";"Assistent fuer die Einrichtung der Hybrid-Verbindung.";"Der Hybrid Configuration Wizard (HCW) konfiguriert die Verbindung zwischen On-Premises-Exchange und Exchange Online: OAuth, Connectors, Organisation-Relationships, MRS-Endpunkte und Free/Busy-Freigabe. Er wird bei jeder Aenderung der Hybrid-Konfiguration erneut ausgefuehrt.";"Kostenlos; setzt Exchange-Server-Lizenz und Exchange-Online-Lizenz voraus.";"https://learn.microsoft.com/exchange/hybrid-configuration-wizard"
"Database Availability Group";"Hochverfuegbarkeitsgruppe fuer Exchange-Postfachdatenbanken.";"Eine DAG repliziert Postfachdatenbanken ueber mehrere Exchange-Server hinweg per kontinuierlicher Replikation. Bei Serverausfall uebernimmt eine passive Kopie automatisch. Voraussetzung: Windows Failover Clustering. Empfohlen fuer produktive Umgebungen ab zwei Servern.";"In Exchange Server Enterprise Edition enthalten.";"https://learn.microsoft.com/exchange/high-availability/database-availability-groups/database-availability-groups"
"Exchange Mailflow";"Transport und Routing von E-Mails in Exchange.";"Der Mailflow beschreibt den Weg einer E-Mail durch Empfang (Receive Connector), Kategorisierung, Transportregeln, Content-Filterung und Zustellung (Delivery) an die Zielpostfachdatenbank oder einen Send Connector. Mail Flow Troubleshooting nutzt Message Tracking, Queue Viewer und Protocol Logs.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/mail-flow/mail-flow"
"Exchange Transportregeln";"Regelbasierte Verarbeitung von E-Mails im Transport.";"Transportregeln (Mail Flow Rules) werten Bedingungen (Absender, Empfaenger, Betreff, Anhaenge) aus und fuehren Aktionen aus (Disclaimer hinzufuegen, Weiterleitung, Blockierung, Klassifizierung). Sie werden in EAC oder PowerShell verwaltet und greifen auf Hub-Transport-Ebene.";"In Exchange Server und Exchange Online enthalten.";"https://learn.microsoft.com/exchange/policy-and-compliance/mail-flow-rules/mail-flow-rules"
"Exchange Zertifikatsverwaltung";"SSL/TLS-Zertifikate fuer Exchange-Dienste.";"Exchange benoetigt Zertifikate fuer HTTPS (OWA, ECP, EWS, ActiveSync, Autodiscover), SMTP (STARTTLS), POP/IMAP und OAuth. Typisch: SAN-Zertifikat mit allen Hostnamen. Zertifikatserneuerung, IIS-Bindung und SMTP-Zuweisung sind regelmaessige Betriebsaufgaben. Let's Encrypt per win-acme automatisiert die Erneuerung.";"Zertifikate von oeffentlichen CAs kostenpflichtig; Let's Encrypt kostenlos; interne CA in AD CS enthalten.";"https://learn.microsoft.com/exchange/plan-and-deploy/post-installation-tasks/install-certificates"
"Exchange Autodiscover";"Automatische Client-Konfiguration fuer Outlook und mobile Clients.";"Autodiscover liefert Clients die Verbindungsparameter (Server, Protokoll, URL) fuer das Postfach. In Exchange 2016/2019 laeuft Autodiscover ueber den virtuellen IIS-Ordner /Autodiscover. DNS-Eintraege (autodiscover.domain.de CNAME oder SRV) und Zertifikate muessen korrekt konfiguriert sein.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/architecture/client-access/autodiscover"
"Exchange Public Folders";"Gemeinsam genutzte Ordnerstruktur in Exchange.";"Public Folders (Oeffentliche Ordner) bieten gemeinsame Postfaecher, Kalender, Kontakte und benutzerdefinierte Formulare. Seit Exchange 2013 sind sie als Postfach-Typ implementiert (Modern Public Folders). Migration zu M365 Groups oder SharePoint wird von Microsoft empfohlen.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/collaboration/public-folders/public-folders"
"Exchange Connector";"Send- und Receive-Connectors fuer Mailrouting.";"Receive Connectors nehmen eingehende SMTP-Verbindungen an (Internet, Partner, Relays); Send Connectors definieren, wie Exchange ausgehende Mails zustellt (Internet, Smarthost, Hybrid). Connector-Konfiguration bestimmt TLS-Erzwingung, Authentifizierung und Adressraeume.";"In Exchange Server enthalten.";"https://learn.microsoft.com/exchange/mail-flow/connectors/connectors"
