"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"ITIL";"Framework fuer IT-Service-Management.";"ITIL (Information Technology Infrastructure Library) ist ein Best-Practice-Framework fuer die Planung, Bereitstellung, den Betrieb und die Verbesserung von IT-Services. ITIL 4 umfasst Service Value System, Guiding Principles, Practices und das Four-Dimensions-Modell. Kernpractices: Incident, Problem, Change, Service Request, Service Level Management.";"ITIL-Zertifizierungen kostenpflichtig (Foundation, Managing Professional etc.).";"https://en.wikipedia.org/wiki/ITIL"
"Incident Management";"Schnelle Wiederherstellung des Normalbetriebs nach Stoerungen.";"Incident Management zielt darauf ab, die Auswirkung von Stoerungen schnellstmoeglich zu minimieren und den normalen Servicebetrieb wiederherzustellen. Prozess: Erkennung, Erfassung, Kategorisierung, Priorisierung, Diagnose, Loesung, Abschluss. Major Incidents erfordern beschleunigte Eskalation und Kommunikation.";"Organisatorischer Prozess; ITSM-Tool fuer Ticket-Erfassung und Workflows.";"https://en.wikipedia.org/wiki/Incident_management_(ITSM)"
"Problem Management";"Ursachenanalyse und dauerhafte Behebung wiederkehrender Stoerungen.";"Problem Management identifiziert die Root Cause hinter wiederkehrenden Incidents und entwickelt dauerhafte Loesungen. Methoden: Root Cause Analysis (RCA), 5-Why, Ishikawa-Diagramm. Known Errors werden in einer KEDB dokumentiert und mit Workarounds versehen, bis die permanente Loesung implementiert ist.";"Organisatorischer Prozess; ITSM-Tool fuer KEDB und Linking.";"https://en.wikipedia.org/wiki/Problem_management"
"Change Management (ITIL)";"Kontrollierte Durchfuehrung von Aenderungen an IT-Services.";"ITIL Change Management (Change Enablement) stellt sicher, dass Aenderungen bewertet, genehmigt, geplant und dokumentiert werden. Typen: Standard (vorab genehmigt), Normal (CAB-Freigabe), Emergency (beschleunigt). Change Advisory Board (CAB), Risikoanalyse und Post-Implementation Review sind Kernelemente.";"Organisatorischer Prozess; ITSM-Tool fuer Workflow und Genehmigung.";"https://en.wikipedia.org/wiki/Change_management_(ITSM)"
"Service Request Management";"Bearbeitung von Standardanfragen und Bestellungen.";"Service Request Management bearbeitet vordefinierte, vorab genehmigte Anfragen (z. B. Passwort-Reset, Softwareinstallation, Zugangsanfrage, Hardwarebestellung). Service-Katalog, Formulare und Automatisierung beschleunigen die Bearbeitung und reduzieren den Helpdesk-Aufwand.";"Organisatorischer Prozess; Service-Katalog im ITSM-Tool.";"https://en.wikipedia.org/wiki/ITIL#Service_request_management"
"Service Catalogue";"Strukturiertes Verzeichnis aller angebotenen IT-Services.";"Der Service-Katalog listet alle IT-Services mit Beschreibung, SLA, Verfuegbarkeit, Kosten und Anfragemoeglichkeit. Er dient Benutzern als Self-Service-Einstieg und dem IT-Management als Leistungsuebersicht. Technischer und Business-Service-Katalog ergaenzen sich.";"Organisatorisch; Implementierung im ITSM-Tool oder SharePoint.";"https://en.wikipedia.org/wiki/Service_catalog"
"CMDB";"Configuration Management Database fuer IT-Assets und Beziehungen.";"Die CMDB erfasst Configuration Items (CIs) wie Server, Anwendungen, Netzwerkgeraete und deren Abhaengigkeiten. Sie unterstuetzt Impact-Analyse bei Changes, Root-Cause-Analyse bei Incidents und Kapazitaetsplanung. Tools: ServiceNow, Jira Assets, i-doit, GLPI.";"GLPI/i-doit Community kostenlos; Enterprise-Tools lizenzpflichtig.";"https://en.wikipedia.org/wiki/Configuration_management_database"
"SLA Management";"Ueberwachung und Einhaltung vereinbarter Servicelevel.";"SLA Management ueberwacht die Einhaltung von Response- und Resolution-Zeiten, Verfuegbarkeit und Servicequalitaet. Automatische Eskalation bei SLA-Bruch, regelmaessige Service-Reviews und SLA-Reports sind Kernaufgaben. OLA (Operational Level Agreement) regelt interne Abhaengigkeiten.";"Im ITSM-Tool konfigurierbar.";"https://en.wikipedia.org/wiki/Service-level_agreement"
"Kanban";"Visuelle Aufgabensteuerung mit Spalten und Karten.";"Kanban visualisiert Arbeitsablaeufe in Spalten (To Do, In Progress, Done) und begrenzt die gleichzeitig bearbeiteten Aufgaben (WIP-Limit). Es ermoeglicht kontinuierlichen Arbeitsfluss ohne feste Iterationen. Einsatz in IT-Teams fuer Support, Projekte und DevOps. Tools: Planner, Jira, Trello, Azure Boards.";"Planner in M365 enthalten; Jira/Trello Freemium; Azure Boards in Azure DevOps.";"https://learn.microsoft.com/azure/devops/boards/boards/kanban-overview"
"Scrum";"Agiles Framework mit Sprints, Rollen und Zeremonien.";"Scrum organisiert Arbeit in zeitlich begrenzten Sprints (1-4 Wochen) mit festen Rollen (Product Owner, Scrum Master, Entwicklungsteam) und Zeremonien (Sprint Planning, Daily Standup, Review, Retrospective). Der Product Backlog priorisiert Anforderungen. In IT-Projekten weit verbreitet fuer Software- und Infrastrukturentwicklung.";"Organisatorisches Framework; Tools: Azure Boards, Jira, Planner.";"https://learn.microsoft.com/azure/devops/boards/sprints/scrum-overview"
"RACI-Matrix";"Zuordnung von Verantwortlichkeiten in Prozessen und Projekten.";"RACI definiert fuer jede Aufgabe: Responsible (ausfuehrend), Accountable (verantwortlich), Consulted (beratend), Informed (informiert). Eine RACI-Matrix klaert Zustaendigkeiten, vermeidet Doppelarbeit und stellt sicher, dass Entscheidungswege definiert sind.";"Organisatorisches Werkzeug; keine Lizenzkosten.";"https://en.wikipedia.org/wiki/Responsibility_assignment_matrix"
"Projektphasen";"Strukturierung von IT-Projekten in aufeinanderfolgende Phasen.";"Klassische Projektphasen: Initiierung, Planung, Durchfuehrung, Ueberwachung/Steuerung, Abschluss. In IT-Projekten oft ergaenzt um: Discovery/Assessment, Proof of Concept, Pilotbetrieb, Breitrollout und Hypercare. Meilensteine, Deliverables und Quality Gates markieren Phasenuebergaenge.";"Organisatorisch; Projektmanagement-Tools (Project, Planner, Azure Boards).";"https://learn.microsoft.com/azure/devops/boards/backlogs/define-features-epics"
"Stakeholder-Management";"Identifikation und Einbindung betroffener Interessengruppen.";"Stakeholder-Management identifiziert alle von einem Projekt oder Service betroffenen Personen und Gruppen, analysiert deren Erwartungen und Einfluss und definiert Kommunikations- und Einbindungsstrategien. Stakeholder-Map und RACI-Matrix sind zentrale Werkzeuge.";"Organisatorisch; keine Lizenzkosten.";"https://en.wikipedia.org/wiki/Stakeholder_management"
"Post-Mortem / Lessons Learned";"Strukturierte Nachbereitung von Vorfaellen und Projekten.";"Ein Post-Mortem (blameless) oder Lessons-Learned-Workshop analysiert nach einem Vorfall oder Projektabschluss: Was ist passiert? Warum? Was lief gut? Was muss sich aendern? Ergebnisse fliessen in Prozessverbesserungen, Dokumentation und praeventive Massnahmen. In DevOps-Kulturen als Blameless Post-Mortem etabliert.";"Organisatorisch; Dokumentation in Wiki, Confluence oder SharePoint.";"https://en.wikipedia.org/wiki/Postmortem_documentation"
"Capacity Planning";"Vorausschauende Planung von IT-Ressourcen und Kapazitaeten.";"Capacity Planning stellt sicher, dass IT-Ressourcen (Compute, Storage, Netzwerk, Lizenzen) fuer aktuelle und zukuenftige Anforderungen ausreichen. Methoden: Trendanalyse, Workload-Modellierung, What-if-Szenarien. Azure Advisor, Monitoring-Daten und Lizenzreports liefern die Datenbasis.";"Organisatorisch; unterstuetzt durch Monitoring-Tools und Azure Advisor (kostenlos).";"https://learn.microsoft.com/azure/advisor/advisor-overview"
"Risk Management";"Identifikation, Bewertung und Steuerung von IT-Risiken.";"IT Risk Management identifiziert Bedrohungen und Schwachstellen, bewertet Eintrittswahrscheinlichkeit und Auswirkung und definiert Massnahmen (Vermeidung, Minderung, Transfer, Akzeptanz). Risikoregister, Risikomatrix und regelmaessige Reviews sind Kernelemente. Standards: ISO 27005, NIST RMF.";"Organisatorisch; unterstuetzt durch GRC-Tools (ServiceNow, Compliance Manager).";"https://learn.microsoft.com/purview/compliance-manager"
"Continual Improvement";"Systematische Verbesserung von IT-Services und Prozessen.";"Continual Improvement (ITIL) bzw. Kontinuierliche Verbesserung (KVP) nutzt Feedback, Metriken und Reviews, um IT-Services und Prozesse iterativ zu verbessern. PDCA-Zyklus (Plan-Do-Check-Act), CSI-Register und Improvement Kanbans strukturieren den Prozess.";"Organisatorisch; keine Lizenzkosten.";"https://en.wikipedia.org/wiki/Continual_improvement_process"
"IT-Betriebshandbuch";"Dokumentation aller betriebsrelevanten IT-Informationen.";"Ein IT-Betriebshandbuch (Operations Manual, Runbook) dokumentiert Systemlandschaft, Netzwerkplaene, Zugangskonten, Backup-Verfahren, Eskalationswege, Wartungsfenster und Notfallprozeduren. Es ist Grundlage fuer Vertretung, Onboarding neuer Admins und Audit-Nachweise.";"Organisatorisch; Ablage in SharePoint, Confluence, IT-Glue oder Wiki.";"https://en.wikipedia.org/wiki/Runbook"
"Service Desk";"Zentrale Schnittstelle zwischen IT und Anwendern.";"Der Service Desk (ITIL) ist der Single Point of Contact fuer alle IT-bezogenen Anfragen, Stoerungen und Service Requests. Er unterscheidet sich vom Helpdesk durch den breiteren Fokus auf Service-Orientierung statt reiner Stoerungsbeseitigung.";"Organisatorisch; ITSM-Tool fuer Implementierung.";"https://en.wikipedia.org/wiki/Service_desk"
