Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
Firewall;Netzwerkfilter zum Schutz vor unerwuenschtem Zugriff.;Eine Firewall analysiert ein- und ausgehenden Netzwerkverkehr anhand definierter Regeln (Port, Protokoll, Quelle, Ziel) und erlaubt oder blockiert Verbindungen. Unterschieden werden Paketfilter, Stateful Inspection, Application-Layer-Firewalls und Next-Generation Firewalls (NGFW) mit IDS/IPS, TLS-Inspection und URL-Filterung. In Unternehmen bildet die Firewall die erste Verteidigungslinie am Perimeter und zwischen Netzwerksegmenten.;"Abhaengig vom Hersteller (OPNsense/pfSense kostenlos; FortiGate, Sophos, Palo Alto lizenzpflichtig mit Jahressubscription fuer UTM/IPS-Module).";https://learn.microsoft.com/windows/security/operating-system-security/network-security/windows-firewall/
VLAN;Logische Netzwerktrennung auf einem physischen Switch.;"Ein Virtual LAN (VLAN) segmentiert ein physisches Netzwerk in mehrere isolierte Broadcast-Domaenen. Jedes VLAN erhaelt eine eigene Subnetz-Konfiguration; die Kommunikation zwischen VLANs erfordert Routing (Inter-VLAN-Routing per Layer-3-Switch oder Firewall). VLANs erhoehen Sicherheit, reduzieren Broadcast-Last und erleichtern die Netzwerkorganisation nach Standort, Abteilung oder Funktion.";"Keine Lizenzkosten; Feature jedes Managed Switch (IEEE 802.1Q).";https://en.wikipedia.org/wiki/VLAN
VPN;Verschluesselte Verbindung ueber unsichere Netzwerke.;Ein Virtual Private Network (VPN) erstellt einen verschluesselten Tunnel zwischen zwei Endpunkten ueber ein oeffentliches Netz (z. B. Internet). Protokolle: IPsec, IKEv2, OpenVPN, WireGuard. Szenarien: Site-to-Site (Standortverbindung), Remote Access (Benutzer zu Netzwerk) und Client-to-Client. VPNs schuetzen Vertraulichkeit und Integritaet des Datenverkehrs.;"Abhaengig von Loesung: OpenVPN/WireGuard kostenlos; kommerzielle Gateways (FortiGate, Sophos, Azure VPN) lizenz- oder nutzungsbasiert.";https://learn.microsoft.com/azure/vpn-gateway/vpn-gateway-about-vpngateways
Switch Management;Konfiguration, Ueberwachung und Pflege von Netzwerkswitches.;Switch Management umfasst VLAN-Konfiguration, Port-Security, Spanning Tree, Link Aggregation, Firmware-Updates, SNMP-Monitoring und Logging. Managed Switches bieten Web-GUI, CLI (SSH/Telnet) und SNMP-Zugang. Best Practices: Trunk-Ports absichern, ungenutzte Ports deaktivieren, Firmware aktuell halten.;"Managed Switches erfordern ggf. Hersteller-Lizenz (z. B. Cisco DNA, HPE/Aruba Central); viele Hersteller ohne Zusatzlizenz.";https://learn.microsoft.com/windows-server/networking/
Wi-Fi 6;WLAN-Standard mit hoher Effizienz und Kapazitaet (802.11ax).;Wi-Fi 6 (IEEE 802.11ax) verbessert Durchsatz, Latenz und Mehrbenutzerverhalten gegenueber Wi-Fi 5 durch OFDMA, MU-MIMO, BSS Coloring und Target Wake Time. Ideal fuer dichte Umgebungen mit vielen Endgeraeten (Bueros, Produktion, oeffentliche Bereiche). Wi-Fi 6E erweitert den Standard auf das 6-GHz-Band.;"Keine Protokolllizenz; Kosten fuer Access Points und ggf. Controller-/Cloud-Management-Lizenz (z. B. Aruba Central, UniFi, Meraki).";https://www.wi-fi.org/discover-wi-fi/wi-fi-certified-6
Site-to-Site VPN;Dauerhafte verschluesselte Standortverbindung.;Ein Site-to-Site VPN verbindet zwei Netzwerke (z. B. Hauptstandort und Filiale) ueber einen IPsec- oder IKEv2-Tunnel permanent miteinander. Beide Seiten benoetigen ein VPN-Gateway (Firewall, Router oder Cloud-Gateway). Routing-Tabellen steuern, welcher Verkehr durch den Tunnel fliesst. Redundante Tunnel erhoehen die Verfuegbarkeit.;"Kosten fuer VPN-Gateways an beiden Standorten; bei Azure VPN Gateway nach SKU und Datenverkehr.";https://learn.microsoft.com/azure/vpn-gateway/tutorial-site-to-site-portal
Remote Access VPN;Verschluesselter Fernzugriff fuer einzelne Benutzer.;Remote Access VPN ermoeglicht Mitarbeitenden, sich von unterwegs oder aus dem Homeoffice sicher mit dem Unternehmensnetzwerk zu verbinden. Der Client baut einen verschluesselten Tunnel (IPsec, SSL/TLS, WireGuard) zum VPN-Gateway auf. Always-On-VPN und Split-Tunneling sind gaengige Konfigurationsoptionen.;"Abhaengig von Loesung: Windows Always-On-VPN in Windows Server enthalten; kommerzielle Clients (FortiClient, GlobalProtect) per User oder Appliance lizenziert.";https://learn.microsoft.com/windows-server/remote/remote-access/remote-access
DHCP;Automatische IP-Konfiguration fuer Netzwerkclients.;Das Dynamic Host Configuration Protocol (DHCP) vergibt IP-Adressen, Subnetzmasken, Gateways, DNS-Server und weitere Optionen automatisch an Clients. Ein DHCP-Server verwaltet Adressbereiche (Scopes), Reservierungen und Lease-Zeiten. DHCP-Relay (IP Helper) leitet Anfragen ueber Subnetzgrenzen hinweg weiter. Ausfallsicherheit durch DHCP-Failover oder Split Scopes.;"In Windows Server enthalten; auf Firewalls und Routern integriert.";https://learn.microsoft.com/windows-server/networking/technologies/dhcp/dhcp-top
DNS;Namensaufloesung als zentraler Basisdienst.;Das Domain Name System (DNS) uebersetzt Hostnamen in IP-Adressen und umgekehrt. Intern stellt DNS die Grundlage fuer Active Directory, Kerberos und Dienst-Lokalisierung (SRV-Records) dar. Externe DNS-Zonen steuern die oeffentliche Erreichbarkeit von Websites, MX-Records fuer E-Mail und SPF/DKIM/DMARC fuer Mailsicherheit. DNS-Sicherheit: DNSSEC, DNS over HTTPS (DoH), DNS-Filterung.;"In Windows Server und Linux enthalten; Cloud-DNS (Azure DNS, Cloudflare) nach Zonen und Abfragen.";https://learn.microsoft.com/windows-server/networking/dns/dns-top
Active Directory;Verzeichnisdienst fuer Windows-Umgebungen.;Active Directory Domain Services (AD DS) verwaltet Benutzerkonten, Computerkonten, Gruppen, Organisationseinheiten (OUs) und Gruppenrichtlinien (GPOs) in einer hierarchischen Struktur (Forest, Domain, Site). Kerberos und NTLM dienen der Authentifizierung. AD DS ist die Grundlage fuer on-premises-Identitaetsverwaltung und Hybrid-Szenarien mit Entra ID.;"In Windows Server enthalten (Standard oder Datacenter); keine separate AD-Lizenz.";https://learn.microsoft.com/windows-server/identity/ad-ds/get-started/virtual-dc/active-directory-domain-services-overview
Domain Controller;Server mit Active-Directory-Rolle fuer Authentifizierung und Richtlinien.;Ein Domain Controller (DC) hostet eine Kopie der AD-Datenbank (NTDS.dit), beantwortet Authentifizierungsanfragen (Kerberos/NTLM), repliziert Verzeichnisaenderungen mit anderen DCs und wendet Gruppenrichtlinien an. Best Practices: mindestens zwei DCs pro Domaene, FSMO-Rollen verteilen, DCs haerten und separat sichern.;In Windows Server enthalten.;https://learn.microsoft.com/windows-server/identity/ad-ds/deploy/install-active-directory-domain-services--level-100-
File Server;Zentraler Server fuer Dateifreigaben und Berechtigungen.;Ein File Server stellt SMB- oder NFS-Freigaben bereit, auf die Benutzer ueber das Netzwerk zugreifen. NTFS- und Freigabeberechtigungen steuern den Zugriff. Features: DFS-Namespaces (einheitliche Pfade), DFS-Replikation, FSRM (Kontingente, Dateiueberwachung), Shadow Copies (Vorgaengerversionen). Backup und Berechtigungsmanagement sind zentrale Betriebsaufgaben.;"In Windows Server enthalten; Storage-Kosten fuer Hardware oder Cloud-Speicher.";https://learn.microsoft.com/windows-server/storage/storage
Print Server;Zentrale Drucker- und Warteschlangenverwaltung.;Ein Print Server verwaltet Druckerwarteschlangen, Treiber und Freigaben zentral fuer alle Benutzer im Netzwerk. Drucker werden per GPO oder Point-and-Print verteilt. In modernen Umgebungen werden Print Server zunehmend durch Universal Print (Cloud) oder Direct IP Printing ersetzt.;"In Windows Server enthalten; Microsoft Universal Print als Cloud-Alternative in M365 E3/E5.";https://learn.microsoft.com/windows-server/administration/windows-server-print
Network Attached Storage;Dateibasiertes Speichersystem im Netzwerk (NAS).;Ein NAS stellt Dateifreigaben (SMB, NFS, AFP) ueber das Netzwerk bereit und dient als zentrale Ablage, Backup-Ziel oder Medienserver. Hersteller wie Synology, QNAP und TrueNAS bieten RAID-Konfigurationen, Snapshot-Replikation, iSCSI-Targets und App-Oekosysteme. In Unternehmen ergaenzt ein NAS oft den File Server oder dient als Backup-Repository.;"Hardware-Anschaffung; Software meist im Lieferumfang (Synology DSM, QNAP QTS kostenlos auf eigener Hardware).";https://en.wikipedia.org/wiki/Network-attached_storage
Monitoring;Ueberwachung von Systemen, Diensten und Netzwerken.;Monitoring erfasst Metriken (CPU, RAM, Disk, Netzwerk), Dienstverfuegbarkeit, Logs und Ereignisse und loest bei Schwellwertueberschreitungen Alarme aus. Tools: PRTG, Zabbix, Nagios, Checkmk, Grafana + Prometheus, Azure Monitor. Dashboards und Reports unterstuetzen proaktives Kapazitaetsmanagement und schnelle Fehlerdiagnose.;"PRTG (100 Sensoren kostenlos), Zabbix/Nagios/Checkmk Open Source kostenlos; Enterprise-Versionen und Cloud-Monitoring kostenpflichtig.";https://learn.microsoft.com/azure/azure-monitor/overview
Redundanz;Ausfallsicherheit durch doppelt vorhandene Komponenten.;Redundanz bezeichnet das Vorhalten zusaetzlicher Komponenten (Server, Netzteile, Leitungen, Switches, Internetanbindungen), die bei Ausfall einer Primaerkomponente uebernehmen. Typen: Aktiv-Passiv (Standby), Aktiv-Aktiv (Lastverteilung), N+1 (eine Reserve). Redundanz ist ein Kernprinzip fuer Hochverfuegbarkeit und wird in SLAs als Verfuegbarkeitsziel (z. B. 99,9 %) quantifiziert.;"Keine Lizenzkosten; Investition in doppelte Hardware, Leitungen und ggf. zweiten ISP.";https://learn.microsoft.com/azure/reliability/overview
Unterbrechungsfreie Stromversorgung;USV zum Schutz vor Stromausfaellen und Spannungsschwankungen.;Eine USV (UPS) ueberbrueckt kurzfristige Stromausfaelle per Batterie und schuetzt angeschlossene Systeme vor abruptem Abschalten. Typen: Offline/Standby, Line-Interactive und Online/Double-Conversion. USV-Management-Software (z. B. APC PowerChute, Eaton IPM) kann bei laengerem Ausfall ein geordnetes Herunterfahren der Server ausloesen. Batteriekapazitaet, Laufzeit und regelmaessige Tests sind kritische Betriebsparameter.;"Hardware-Anschaffung (APC, Eaton, Vertiv); Management-Software teils im Lieferumfang.";https://en.wikipedia.org/wiki/Uninterruptible_power_supply
Server-Virtualisierung;Mehrere virtuelle Server auf gemeinsamer Hardware.;Server-Virtualisierung abstrahiert physische Hardware durch einen Hypervisor, sodass mehrere virtuelle Maschinen (VMs) auf einem Host laufen. Vorteile: bessere Hardwareauslastung, schnelle Bereitstellung, Snapshots, Live-Migration und vereinfachtes Backup. Gaengige Hypervisoren: Hyper-V, VMware vSphere/ESXi, Proxmox VE, KVM.;"Hyper-V in Windows Server enthalten; VMware vSphere lizenzpflichtig (per CPU/Socket oder Subscription); Proxmox VE kostenlos (Community) oder mit Subscription.";https://learn.microsoft.com/windows-server/virtualization/hyper-v/hyper-v-on-windows-server
Hyper-V;Microsofts Virtualisierungstechnologie fuer VMs.;Hyper-V ist der Typ-1-Hypervisor von Microsoft, integriert in Windows Server und als eigenstaendiger Hyper-V Server (kostenlos) verfuegbar. Features: Live-Migration, Failover-Clustering, Replikation, verschachtelte Virtualisierung, Secure Boot fuer VMs und Integration Services. Hyper-V Manager und Windows Admin Center dienen der Verwaltung, PowerShell fuer Automatisierung.;"In Windows Server Standard (2 VMs) und Datacenter (unbegrenzt) enthalten; Hyper-V Server (Core) war kostenlos (eingestellt ab Server 2022).";https://learn.microsoft.com/windows-server/virtualization/hyper-v/hyper-v-on-windows-server
VMware;Verbreitete Virtualisierungsplattform fuer Server und Infrastruktur.;VMware vSphere/ESXi ist eine weit verbreitete Enterprise-Virtualisierungsplattform. vCenter Server verwaltet mehrere ESXi-Hosts zentral mit vMotion, DRS, HA und Storage-Tiering. Seit der Broadcom-Uebernahme (2023) wurde das Lizenzmodell auf Subscriptions umgestellt. Alternativen wie Proxmox und Hyper-V gewinnen an Bedeutung.;"Subscription-basiert (VMware Cloud Foundation, vSphere Foundation); ehemals per Socket lizenziert. Kostenlose ESXi-Version eingestellt.";https://docs.vmware.com/en/VMware-vSphere/index.html
Patchpanel;Strukturierte Verteilstelle fuer Netzwerkverkabelung.;Ein Patchpanel ist die zentrale Anschlussleiste im Netzwerkschrank, an der die fest installierten Netzwerkkabel (Verlegekabel) aufgelegt werden. Patchkabel verbinden die Panel-Ports mit Switch-Ports. Saubere Beschriftung, Dokumentation und Kabelmanagement sind essenziell fuer Uebersichtlichkeit und schnelle Fehlersuche.;"Hardware-Anschaffung; keine Lizenzkosten.";https://en.wikipedia.org/wiki/Patch_panel
Netzwerksegmentierung;Trennung von Netzbereichen fuer Sicherheit und Performance.;Netzwerksegmentierung unterteilt ein Netzwerk in isolierte Zonen (z. B. Server, Clients, Gaeste, IoT, Management) mittels VLANs, Subnetzen und Firewallregeln. Vorteile: geringere Angriffsflaeche, eingedaemmte Lateral Movement, bessere QoS-Steuerung und klare Verantwortlichkeiten. Microsegmentierung verfeinert diesen Ansatz auf Workload-Ebene.;"Keine Lizenzkosten fuer VLANs; Firewall-Regeln und ggf. SDN-Loesungen abhaengig vom Hersteller.";https://learn.microsoft.com/azure/architecture/networking/guide/network-level-segmentation
Quality of Service;Priorisierung zeitkritischer Datenstroeme im Netzwerk.;Quality of Service (QoS) priorisiert bestimmten Netzwerkverkehr (z. B. VoIP, Video, Steuerungsprotokolle) gegenueber weniger kritischem Datenverkehr durch Markierung (DSCP), Warteschlangen-Management und Bandbreitenreservierung. In Teams-Telefonie-Umgebungen ist QoS essenziell fuer stabile Sprachqualitaet. Konfiguration erfolgt auf Switches, Firewalls und per GPO.;"In Netzwerk-Hardware und Windows integriert; keine separate Lizenz.";https://learn.microsoft.com/microsoftteams/qos-in-teams
Remote Monitoring and Management;Zentrale Ueberwachung und Verwaltung von IT-Systemen fuer MSPs.;RMM-Tools ermoeglichen IT-Dienstleistern und internen Teams die zentrale Ueberwachung, Fernwartung, Patch-Verwaltung, Skriptausfuehrung und Alerting ueber alle verwalteten Endpunkte. Agenten auf den Clients melden Status und Metriken an eine zentrale Konsole. Gaengige Loesungen: ConnectWise Automate, Datto RMM, NinjaRMM, Atera.;"Subscription pro Endpunkt oder Techniker; Preise je nach Anbieter.";https://en.wikipedia.org/wiki/Remote_monitoring_and_management
IT-Inventarisierung;Erfassung von Geraeten, Software, Lizenzen und Zustaendigkeiten.;IT-Inventarisierung dokumentiert alle IT-Assets (Hardware, Software, Lizenzen, Vertraege) mit Standort, Zustand, Eigentuemer und Lebenszyklus. Sie bildet die Grundlage fuer Lizenz-Compliance, Budgetplanung, Incident-Management und Audits. Tools: GLPI, Lansweeper, Snow Software, Microsoft Endpoint Analytics, Excel-basierte Eigenloesungen.;"Open Source (GLPI, Snipe-IT) kostenlos; Enterprise-Tools (Lansweeper, Snow) lizenzpflichtig.";https://learn.microsoft.com/mem/analytics/overview
