Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
IT Helpdesk;Zentrale Anlaufstelle fuer Benutzeranfragen und Stoerungen.;Der IT Helpdesk (First Level Support) nimmt Anfragen per Telefon, E-Mail, Chat oder Self-Service-Portal entgegen, kategorisiert und priorisiert sie und loest Standardprobleme direkt. Komplexere Themen werden an Second oder Third Level eskaliert. Kennzahlen wie Erstloesungsquote, mittlere Reaktionszeit und Kundenzufriedenheit messen die Servicequalitaet.;"Organisatorisch; unterstuetzt durch Ticket-Systeme (ITSM-Tools).";https://learn.microsoft.com/system-center/scsm/service-manager
Ticket-System;Erfassung und Nachverfolgung von Supportvorgaengen.;Ein Ticket-System (ITSM-Tool) dokumentiert jeden Vorgang mit Nummer, Kategorie, Prioritaet, Zuweisung, Status und Loesung. Workflows steuern Eskalation, Genehmigung und SLA-Ueberwachung. Gaengige Loesungen: Jira Service Management, Freshservice, OTRS, Zendesk, ServiceNow, GLPI.;"GLPI/OTRS Community kostenlos; kommerzielle Tools per Agent oder Endpunkt lizenziert.";https://learn.microsoft.com/system-center/scsm/service-manager
Service Level Agreement;Messbare Vereinbarung ueber Reaktions- und Loesungszeiten.;Ein SLA definiert den vereinbarten Serviceumfang, Reaktionszeiten (Time to Respond), Loesungszeiten (Time to Resolve), Verfuegbarkeit und Eskalationswege zwischen IT-Dienstleister und Auftraggeber. SLAs werden in Tickets ueberwacht und in Reports ausgewertet. Typische Abstufungen: Critical (1h/4h), High (4h/8h), Medium (8h/24h), Low (24h/5d).;"Organisatorische Vereinbarung; SLA-Tracking im Ticket-System.";https://en.wikipedia.org/wiki/Service-level_agreement
Remote Support;Fernunterstuetzung auf Endgeraeten ohne Vor-Ort-Einsatz.;Remote Support ermoeglicht IT-Technikern, sich per Bildschirmfreigabe oder Fernsteuerung auf den Desktop des Benutzers zu schalten. Tools: Microsoft Quick Assist (in Windows enthalten), TeamViewer, AnyDesk, ConnectWise ScreenConnect, Intune Remote Help. Vorteile: schnelle Hilfe, kein Reiseaufwand, Sitzungsprotokollierung.;"Quick Assist in Windows enthalten; Intune Remote Help in Intune Suite oder als Add-on; TeamViewer/AnyDesk lizenzpflichtig.";https://learn.microsoft.com/windows/client-management/quick-assist
Onboarding-Prozess;Strukturierte IT-Bereitstellung fuer neue Mitarbeitende.;Der IT-Onboarding-Prozess umfasst die Anlage von Benutzerkonten (AD/Entra ID), Lizenzzuweisung, E-Mail-Konfiguration, Geraetebereitstellung (Autopilot/Intune), Gruppenmitgliedschaften, Zugangsberechtigungen und Willkommensinformationen. Automatisierung per Entra ID Lifecycle Workflows, Power Automate oder Scripting reduziert Fehler und beschleunigt den Start.;"Entra ID Lifecycle Workflows ab Entra ID Governance (P2 oder Add-on); Autopilot in Intune/M365 E3+.";https://learn.microsoft.com/entra/id-governance/what-are-lifecycle-workflows
Offboarding-Prozess;Geordneter IT-Entzug beim Austritt von Mitarbeitenden.;Offboarding umfasst Kontodeaktivierung, Lizenzentzug, Geraeteruecknahme (Remote Wipe), Postfachkonvertierung (Shared Mailbox), OneDrive-Datenuebergabe, Gruppenmitgliedschaften entfernen und Dokumentation. Automatisierte Workflows (Entra ID Lifecycle, Power Automate) stellen sicher, dass keine Zugriffe offen bleiben.;"Entra ID Lifecycle Workflows ab Entra ID Governance; manuelle Prozesse ohne Zusatzlizenz.";https://learn.microsoft.com/entra/id-governance/what-are-lifecycle-workflows
Device Lifecycle;Geraeteverwaltung von Beschaffung bis Entsorgung.;Der Device Lifecycle umfasst Planung, Beschaffung, Bereitstellung (Imaging/Autopilot), Betrieb (Patching, Monitoring), Refresh-Zyklus (typisch 3-5 Jahre) und sichere Entsorgung (Datenlöschung, DSGVO-konforme Vernichtung). Intune und Autopilot automatisieren Bereitstellung und Compliance-Ueberwachung.;"Intune in M365 E3/E5; Windows Autopilot in Intune enthalten.";https://learn.microsoft.com/mem/autopilot/windows-autopilot
Asset Management;Verwaltung von IT-Ressourcen mit Bestand und Kosten.;IT Asset Management (ITAM) erfasst Hardware, Software, Lizenzen, Vertraege und Zustaendigkeiten zentral. Es unterstuetzt Budgetplanung, Lizenz-Compliance, Lebenszyklus-Tracking und Audit-Vorbereitung. Tools: Lansweeper, GLPI, Snow Software, Snipe-IT, Microsoft Intune (Hardwareinventar).;"GLPI/Snipe-IT Open Source kostenlos; Lansweeper/Snow lizenzpflichtig; Intune-Inventar in M365 E3+.";https://learn.microsoft.com/mem/intune/remote-actions/device-inventory
Knowledgebase;Strukturierte Wissenssammlung fuer IT-Support und Prozesse.;Eine Knowledgebase (KB) dokumentiert Loesungen fuer bekannte Probleme, FAQs, Anleitungen, SOPs und Best Practices in durchsuchbarer Form. Sie reduziert wiederkehrende Anfragen, beschleunigt die Einarbeitung neuer Mitarbeitender und sichert Wissen gegen Personenfluktuation. Plattformen: Confluence, SharePoint, BookStack, IT Glue, interne Wikis.;"SharePoint in M365 enthalten; Confluence, IT Glue separat lizenziert; BookStack Open Source.";https://support.microsoft.com/sharepoint
Standard Operating Procedure;Verbindliche Arbeitsanweisung fuer wiederkehrende Ablaeufe.;Eine SOP beschreibt einen IT-Prozess Schritt fuer Schritt mit Verantwortlichkeiten, Voraussetzungen, Ablauf und erwarteten Ergebnissen. Beispiele: Benutzer anlegen, Backup-Restore durchfuehren, Firewall-Regel aendern. SOPs stellen Konsistenz sicher, erleichtern Vertretung und sind Grundlage fuer Audits und Compliance-Nachweise.;"Organisatorisch; keine Lizenzkosten. Dokumentation in SharePoint, Wiki oder Knowledgebase.";https://en.wikipedia.org/wiki/Standard_operating_procedure
Workflow-Automatisierung;Regelbasierte Automatisierung wiederkehrender IT-Taetigkeiten.;Workflow-Automatisierung ersetzt manuelle Schritte durch definierte Trigger, Bedingungen und Aktionen. Szenarien: Benutzererstellung bei HR-Meldung, Lizenz-Entzug bei Offboarding, Genehmigungsworkflows fuer Zugriffsanfragen, automatische Ticket-Erstellung bei Monitoring-Alerts. Tools: Power Automate, Azure Logic Apps, n8n, Entra ID Lifecycle Workflows.;"Power Automate Basis in M365 enthalten; Premium-Konnektoren und RPA separat; Logic Apps nach Nutzung.";https://learn.microsoft.com/power-automate/getting-started
Freigabe-Workflow;Nachvollziehbarer Pruef- und Genehmigungsprozess.;Ein Freigabe-Workflow leitet Antraege (z. B. Zugriff auf Ressourcen, Software-Beschaffung, Firewall-Aenderung) an definierte Genehmiger weiter. Nach Freigabe wird die Aenderung umgesetzt, bei Ablehnung dokumentiert. Microsoft Approvals in Teams, Power Automate und Entra ID Access Reviews bieten integrierte Freigabemechanismen.;"Approvals in M365 enthalten; Access Reviews ab Entra ID P2.";https://learn.microsoft.com/microsoftteams/approval-admin
Self-Service-Portal;Eigenstaendige Bearbeitung von Standardanliegen durch Benutzer.;Ein Self-Service-Portal ermoeglicht Benutzern, haeufige Anfragen (Passwort-Reset, Softwareanforderung, Zugriffsanfrage, FAQ-Suche) ohne Helpdesk-Kontakt zu bearbeiten. Entra Self-Service Password Reset (SSPR), Intune Company Portal und SharePoint-basierte Formulare sind gaengige Loesungen.;"SSPR ab Entra ID P1 (in M365 E3); Company Portal in Intune enthalten.";https://learn.microsoft.com/entra/identity/authentication/concept-sspr-howitworks
Monitoring-Alert;Automatische Benachrichtigung bei Schwellwertueberschreitung.;Monitoring-Alerts informieren IT-Teams per E-Mail, SMS, Teams-Nachricht oder Webhook, wenn definierte Schwellwerte (CPU, RAM, Disk, Dienstverfuegbarkeit, Zertifikatsablauf etc.) ueberschritten werden. Action Groups in Azure Monitor, PRTG-Benachrichtigungen und Zabbix-Trigger sind typische Implementierungen.;"Azure Monitor Alerts nach Regeln und Benachrichtigungen; PRTG/Zabbix je nach Lizenz.";https://learn.microsoft.com/azure/azure-monitor/alerts/alerts-overview
