NR;VORNAME;NACHNAME;FIRMA;TOP IN WAS;AWARD-TYP;KATEGORIE;ZERTIFIKATE;WEBSITE;TYPISCHE EVENTS
1;Alexander;Eggers;alexander-eggers.de;Microsoft Teams / M365 Copilot;Microsoft MVP;M365 Apps & Services, M365 Copilot;MCT;https://www.alexander-eggers.de/;M365 Summit, CollabSummit, Community Days
2;Patrick;Kelbach;;Microsoft Technologies / Cloud;Microsoft MVP;M365 / Azure;;;M365 Summit, Pottconf, Community Days
3;Eric;Berg;Mountain IT;Azure / Cloud Governance / Hybrid Infrastructure;Microsoft MVP;Azure, Cloud & Datacenter Management;MCT;https://ericberg.de/;CDC Germany, Experts Live, Azure Saturday, Ignite
4;Carsten;Rachfahl;Rachfahl IT-Solutions;Hyper-V / Azure Stack HCI / Windows Server;Microsoft MVP;Cloud & Datacenter Management;;https://www.yourwebhoster.eu/;CDC Germany, Experts Live
5;Thorsten;Butz;IT-Trainer;M365 / Azure / Collaboration / Modern Work;Microsoft MVP;M365 Apps & Services;;;Pottconf, Community Days
6;Thomas;Maurer;;Azure / Hybrid Cloud;Microsoft MVP;Azure;;;CDC Germany, Ignite, Experts Live
7;Marcel;Zehner;SoftwareONE;Azure / Cloud Strategy / Security / DevOps;Microsoft MVP;Azure;Microsoft Regional Director;https://marcelzehner.ch/;CDC Germany, Experts Live Europe, Experts Live Switzerland
8;Didier;Van Hoye;;Windows Server / Hybrid Cloud;Microsoft MVP;Cloud & Datacenter Management;;;CDC Germany, Experts Live
9;Frank;Carius;Net at Work GmbH;Exchange / Teams / M365 / Unified Communications;Microsoft MVP;M365 Apps & Services;MCM (Microsoft Certified Master);https://www.msxfaq.de/;M365 Summit, Exchange Summit, Commsverse
10;Ingo;Gegenwarth;SAP;Exchange / PowerShell / Email Security;Microsoft MVP;M365 Apps & Services;MCM, MCSM;;Exchange Summit, Experts Live Germany
11;Michael;Greth;Freelance Consultant;SharePoint / Microsoft Copilot / M365 / Video;Microsoft MVP;M365 Copilot & Clipchamp;;https://www.yourcopilot.de/;ESPC, CollabSummit, M365 Summit
12;Fabian;Bader;glueckkanja-gab AG;Azure Security / Identity / PowerShell;Microsoft MVP;Azure;;https://cloudbrothers.info/;Troopers, CollabSummit, PowerShell Usergroups
13;Gregor;Reimling;adesso SE;Azure / Cloud Security / Governance / Migration;Microsoft MVP;Azure, Security;MCT;https://reimling.eu/;CDC Germany, Azure Saturday, CollabSummit
14;Jan-Henrik;Damaschke;Visorian GmbH;Azure / Cloud-Native / Security / DevOps;Microsoft MVP;Azure;;;Community Days, Azure Meetups
15;Tom;Janetscheck;Microsoft;Azure Security / Cloud Infrastructure;Microsoft MVP (ehem.);Azure;;https://blog.azureandbeyond.com/;Azure Saturday, CDC Germany, KuppingerCole
16;Ragnar;Heil;;M365 / Copilot / Governance / SharePoint;Microsoft MVP;M365 Apps & Services;;https://ragnarheil.de/;M365 Summit, ESPC, CollabSummit
17;Nicki;Borell;Xperts at Work;SharePoint / M365 / GDPR / Azure;Microsoft MVP;M365 Apps & Services;Microsoft Regional Director;https://www.nickiborell.com/;ESPC, European Cloud Summit, CollabSummit
18;Nico;Thiemer;nova laboro UG;SharePoint / M365 / Dynamics / Azure / Intune;Microsoft MVP;M365 Apps & Services;;https://nicothiemer.de/;M365 Summit, Community Days
