Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;Weblinks
Content Management System;Plattform zur Erstellung und Pflege von Webinhalten.;Ein CMS trennt Inhalt von Design und ermoeglicht Redakteuren, Seiten, Beitraege, Medien und Menues ohne Programmierkenntnisse zu verwalten. Gaengige Systeme: WordPress (Marktfuehrer, Plugin-Oekosystem), Joomla, Drupal, TYPO3, Webflow und individuelle Loesungen. Auswahlkriterien: Erweiterbarkeit, Sicherheit, SEO-Faehigkeiten, Hosting-Anforderungen und Redaktionsworkflow.;"WordPress kostenlos (Open Source); Hosting, Premium-Themes und Plugins separat. Webflow, Squarespace als SaaS-Modelle.";https://developer.wordpress.org/
Responsive Webdesign;Anpassung von Layout und Bedienung an verschiedene Bildschirmgroessen.;Responsive Webdesign nutzt flexible Grids, relative Einheiten (%, rem, vw), Media Queries und flexible Bilder, damit eine Website auf Desktop, Tablet und Smartphone optimal dargestellt wird. Mobile-First-Ansatz: Design beginnt bei der kleinsten Bildschirmgroesse und wird fuer groessere Viewports erweitert. Google bevorzugt Mobile-friendly-Seiten im Ranking.;"Keine separaten Kosten; Umsetzung im Theme/Framework (Bootstrap, Tailwind, CSS Grid).";https://web.dev/articles/responsive-web-design-basics
Landingpage;Fokussierte Zielseite fuer eine konkrete Aktion.;Eine Landingpage ist auf ein einzelnes Ziel ausgerichtet: Lead-Generierung, Produktverkauf, Terminbuchung oder Download. Sie minimiert Ablenkung (kein globales Menue), hebt den Call-to-Action hervor und nutzt Social Proof, Vertrauenssignale und klare Nutzenargumentation. A/B-Tests optimieren Ueberschriften, Formulare und Button-Texte.;Umsetzung im CMS oder mit Landingpage-Buildern (Unbounce, Leadpages, Elementor).;https://web.dev/learn/forms
Corporate Website;Offizielle Webpraesenz eines Unternehmens.;Die Corporate Website repraesentiert das Unternehmen mit Leistungen, Team, Referenzen, News und Kontaktmoeglichkeiten. Sie dient als Vertrauensanker fuer Kunden, Bewerber und Partner. Technische Anforderungen: DSGVO-Konformitaet (Impressum, Datenschutz, Cookie-Consent), Barrierefreiheit, schnelle Ladezeiten und mobile Optimierung.;"Abhaengig von CMS und Hosting; typisch: Domain + Hosting + Theme + Entwicklung.";https://web.dev/explore/accessible
Conversion Rate;Anteil der Besucher, die eine gewuenschte Aktion ausfuehren.;Die Conversion Rate (CR) misst den Prozentsatz der Website-Besucher, die ein definiertes Ziel erreichen (Formular absenden, Kauf abschliessen, Newsletter abonnieren). Berechnung: Conversions / Besucher x 100. Conversion-Rate-Optimierung (CRO) verbessert CR durch A/B-Tests, UX-Verbesserungen, klarere CTAs und schnellere Ladezeiten.;Messung ueber Google Analytics (kostenlos), Matomo (Open Source) oder kostenpflichtige Tools (Hotjar, Optimizely).;https://support.google.com/analytics/answer/6086209
Technical SEO;Technische Grundlagen fuer effizientes Crawling und Indexierung.;Technical SEO stellt sicher, dass Suchmaschinen eine Website effizient crawlen, rendern und indexieren koennen. Kernbereiche: Seitengeschwindigkeit, Mobile-Friendliness, Crawlbarkeit (robots.txt, XML Sitemap), HTTPS, kanonische URLs, hreflang-Tags, strukturierte Daten und saubere URL-Struktur. Google Search Console ist das primaere Diagnosetool.;"Google Search Console kostenlos; Crawl-Tools (Screaming Frog, Sitebulb) teils kostenpflichtig.";https://developers.google.com/search/docs/crawling-indexing/overview
OnPage SEO;Inhaltliche und strukturelle Optimierung direkt auf der Website.;OnPage SEO umfasst die Optimierung von Title Tags, Meta Descriptions, Ueberschriftenstruktur (H1-H6), internen Verlinkungen, Bild-Alt-Texten, URL-Struktur, Content-Qualitaet und Keyword-Platzierung. Ziel: Suchmaschinen den Inhalt und die Relevanz einer Seite klar zu signalisieren, ohne Keyword-Stuffing zu betreiben.;"Keine Toolkosten fuer die Umsetzung; Analyse mit Yoast SEO (WordPress), Rank Math oder Surfer SEO.";https://developers.google.com/search/docs/fundamentals/seo-starter-guide
Local SEO;Sichtbarkeit in ortsbezogenen Suchanfragen verbessern.;Local SEO optimiert die Praesenz in lokalen Suchergebnissen und Google Maps. Kernmassnahmen: Google Business Profile pflegen (Oeffnungszeiten, Fotos, Bewertungen), NAP-Konsistenz (Name, Adresse, Telefon) ueber alle Verzeichnisse, lokale Keywords, Bewertungsmanagement und lokale Backlinks. Besonders relevant fuer Dienstleister, Einzelhandel und Gastronomie.;"Google Business Profile kostenlos; lokale Verzeichniseintraege teils kostenpflichtig.";https://developers.google.com/search/docs/specialty/local
Schema Markup;Strukturierte Daten fuer bessere Suchmaschinen-Interpretation.;Schema Markup (schema.org) ergaenzt HTML um maschinenlesbare Informationen: Unternehmensdaten, FAQs, Produkte, Bewertungen, Events, Rezepte u.v.m. Suchmaschinen nutzen diese Daten fuer Rich Snippets und Knowledge Panels. Formate: JSON-LD (empfohlen), Microdata, RDFa. Google Rich Results Test prueft die Implementierung.;"Kostenlos; Implementierung im CMS oder Theme.";https://developers.google.com/search/docs/appearance/structured-data/intro-structured-data
Core Web Vitals;Google-Kennzahlen fuer Ladezeit, Interaktivitaet und visuelle Stabilitaet.;Core Web Vitals messen die Nutzererfahrung: LCP (Largest Contentful Paint, Ladezeit < 2,5s), INP (Interaction to Next Paint, Interaktivitaet < 200ms) und CLS (Cumulative Layout Shift, visuelle Stabilitaet < 0,1). Sie sind seit 2021 ein Google-Rankingfaktor. Messung ueber PageSpeed Insights, Chrome UX Report und Search Console.;Kostenlos messbar ueber Google-Tools.;https://web.dev/articles/vitals
