"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"PowerShell Grundlagen";"Objektorientierte Kommandozeile und Skriptsprache von Microsoft.";"PowerShell ist eine aufgabenbasierte Shell mit Skriptsprache, die auf .NET basiert. Cmdlets folgen dem Verb-Noun-Schema (Get-Process, Set-Item). PowerShell 7 (Core) ist plattformuebergreifend (Windows, Linux, macOS), waehrend Windows PowerShell 5.1 in Windows integriert bleibt. Die Pipeline uebergibt Objekte statt Text zwischen Cmdlets.";"In Windows enthalten (5.1); PowerShell 7 kostenlos (Open Source, MIT-Lizenz).";"https://learn.microsoft.com/powershell/scripting/overview"
"PowerShell Pipeline";"Objekt-Weitergabe zwischen Cmdlets in einer Befehlskette.";"Die Pipeline (|) uebergibt .NET-Objekte von einem Cmdlet zum naechsten. Im Gegensatz zu klassischen Shells werden keine Textstrings, sondern strukturierte Objekte mit Eigenschaften und Methoden weitergereicht. Where-Object, Select-Object, Sort-Object und ForEach-Object sind zentrale Pipeline-Cmdlets.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/scripting/learn/understanding-the-powershell-pipeline"
"PowerShell Module";"Pakete aus Cmdlets, Funktionen und Ressourcen.";"PowerShell-Module buendeln verwandte Cmdlets, Funktionen, Variablen und Dateien in einem verteilbaren Paket. Die PowerShell Gallery (PSGallery) ist das zentrale Repository. Wichtige Module: Az, Microsoft.Graph, ExchangeOnlineManagement, MicrosoftTeams, ActiveDirectory. Install-Module, Import-Module und Update-Module verwalten den Lebenszyklus.";"Kostenlos; PowerShell Gallery oeffentlich zugaenglich.";"https://learn.microsoft.com/powershell/scripting/developer/module/understanding-a-windows-powershell-module"
"PowerShell Remoting";"Fernausfuehrung von Befehlen auf entfernten Systemen.";"PowerShell Remoting (WinRM/WSMan oder SSH) ermoeglicht die Ausfuehrung von Cmdlets und Skripten auf Remote-Computern per Invoke-Command, Enter-PSSession und New-PSSession. Konfiguration ueber Enable-PSRemoting, TrustedHosts und ggf. HTTPS-Listener. In Domaenenumgebungen standardmaessig funktionsfaehig.";"In Windows enthalten; SSH-Remoting in PowerShell 7.";"https://learn.microsoft.com/powershell/scripting/learn/remoting/running-remote-commands"
"PowerShell Error Handling";"Fehlerbehandlung mit Try/Catch/Finally und ErrorAction.";"PowerShell unterscheidet terminierende und nicht-terminierende Fehler. Try/Catch/Finally faengt terminierende Fehler ab; -ErrorAction Stop erzwingt Terminierung. $Error, $ErrorActionPreference und $LASTEXITCODE helfen bei Diagnose. Robuste Skripte nutzen strukturierte Fehlerbehandlung fuer Logging und Graceful Degradation.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/scripting/learn/deep-dives/everything-about-exceptions"
"PowerShell Code Signing";"Digitale Signierung von Skripten zur Integritaetspruefung.";"Code Signing versieht PowerShell-Skripte und Module mit einer digitalen Signatur, die Herkunft und Integritaet bestaetigt. Execution Policies (AllSigned, RemoteSigned) erzwingen signierte Skripte. Zertifikate koennen von einer internen CA (AD CS) oder oeffentlichen CA stammen. Set-AuthenticodeSignature signiert Dateien.";"Zertifikate ueber interne CA kostenlos; oeffentliche Code-Signing-Zertifikate kostenpflichtig.";"https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_signing"
"PowerShell Profile";"Automatisch geladene Konfigurationsskripte beim Shell-Start.";"PowerShell-Profile sind Skripte, die beim Start einer Sitzung automatisch ausgefuehrt werden. Sie laden Module, setzen Aliase, definieren Funktionen und konfigurieren die Eingabeaufforderung. Es gibt vier Profile-Ebenen: AllUsersAllHosts, AllUsersCurrentHost, CurrentUserAllHosts, CurrentUserCurrentHost.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/scripting/learn/shell/creating-profiles"
"PowerShell Execution Policy";"Sicherheitsrichtlinie fuer die Skriptausfuehrung.";"Die Execution Policy steuert, unter welchen Bedingungen PowerShell Skripte ausfuehrt: Restricted (keine Skripte), RemoteSigned (lokale frei, Remote signiert), AllSigned (alle signiert), Unrestricted, Bypass. Sie ist kein Sicherheits-Boundary, sondern ein Schutz vor versehentlicher Ausfuehrung. Konfiguration per GPO, Registry oder Set-ExecutionPolicy.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_execution_policies"
"Microsoft Graph PowerShell SDK";"PowerShell-Modul fuer Microsoft-Graph-API-Zugriff.";"Das Microsoft.Graph SDK ersetzt die veralteten AzureAD- und MSOnline-Module. Es bietet Cmdlets fuer Benutzer, Gruppen, Anwendungen, Policies und alle weiteren Graph-Endpunkte. Authentifizierung per Connect-MgGraph (interaktiv, Certificate, Managed Identity). Berechtigungen werden als Scopes angefordert.";"Kostenlos (Open Source); API-Zugriff abhaengig von M365-Lizenz.";"https://learn.microsoft.com/powershell/microsoftgraph/get-started"
"ExchangeOnlineManagement";"PowerShell-Modul fuer Exchange-Online-Verwaltung.";"Das EXO V3-Modul (ExchangeOnlineManagement) verbindet sich per Connect-ExchangeOnline mit Exchange Online und bietet REST-basierte Cmdlets fuer Postfaecher, Transportregeln, Connectors und Berechtigungen. Es ersetzt die Legacy-Remote-PowerShell-Verbindung und unterstuetzt Certificate-Based Authentication fuer unbeaufsichtigte Skripte.";"Kostenlos; setzt Exchange-Online-Lizenz voraus.";"https://learn.microsoft.com/powershell/exchange/exchange-online-powershell-v2"
"PnP PowerShell";"Community-Modul fuer SharePoint Online und M365-Verwaltung.";"PnP.PowerShell (Patterns and Practices) bietet ueber 600 Cmdlets fuer SharePoint Online, Teams, Planner, Power Automate und weitere M365-Dienste. Es ergaenzt die nativen Microsoft-Module um praxisnahe Funktionen wie Site-Provisioning, Berechtigungsberichte und Tenant-Administration.";"Kostenlos (Open Source, MIT-Lizenz).";"https://pnp.github.io/powershell/"
"PowerShell SecretManagement";"Sichere Verwaltung von Credentials in Skripten.";"Das SecretManagement-Modul bietet eine einheitliche Schnittstelle fuer die Speicherung und den Abruf von Secrets (Passwoerter, API-Keys, Zertifikate). Vault-Extensions verbinden es mit Azure Key Vault, KeePass, LastPass oder dem lokalen SecretStore. Damit entfallen hartcodierte Credentials in Skripten.";"Kostenlos (Open Source).";"https://learn.microsoft.com/powershell/utility-modules/secretmanagement/overview"
"PowerShell Desired State Configuration";"Deklarative Konfigurationsverwaltung fuer Server.";"DSC definiert den gewuenschten Zustand eines Systems (installierte Rollen, Registry-Werte, Dateien, Dienste) in deklarativen Konfigurationsskripten. Der Local Configuration Manager (LCM) erzwingt und ueberwacht den Zustand. DSC v3 (Machine Configuration) integriert sich in Azure Policy und Azure Automanage.";"In PowerShell enthalten; Azure Machine Configuration ab Azure Arc.";"https://learn.microsoft.com/powershell/dsc/overview"
"PowerShell Pester";"Test-Framework fuer PowerShell-Skripte und -Module.";"Pester ist das Standard-Testframework fuer PowerShell mit Unit-Tests, Integration-Tests und Infrastructure-Tests. Describe/Context/It-Bloecke strukturieren Tests, Should-Assertions pruefen Ergebnisse. Code Coverage Reports messen die Testabdeckung. Pester ist essenziell fuer CI/CD-Pipelines mit PowerShell.";"Kostenlos (Open Source); in PowerShell 5.1+ vorinstalliert.";"https://pester.dev/docs/quick-start"
"PowerShell ScriptBlock";"Codeblock als wiederverwendbares Ausfuehrungsobjekt.";"Ein ScriptBlock ({...}) ist ein PowerShell-Ausdruck, der Code als Objekt kapselt und spaeter ausgefuehrt werden kann. ScriptBlocks werden in Invoke-Command (Remoting), Where-Object, ForEach-Object, Pester-Tests und eigenen Funktionen als Parameter uebergeben.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_script_blocks"
"PowerShell Splatting";"Parameter-Uebergabe per Hashtable fuer uebersichtliche Cmdlet-Aufrufe.";"Splatting uebergibt Parameter als Hashtable (@params) statt in einer langen Befehlszeile. Es verbessert Lesbarkeit, ermoeglicht dynamische Parameterkonstruktion und erleichtert die Wiederverwendung. Splatting funktioniert mit allen Cmdlets und Funktionen.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_splatting"
"PowerShell Regular Expressions";"Musterbasierte Textverarbeitung mit Regex.";"PowerShell unterstuetzt .NET Regular Expressions in -match, -replace, Select-String und [regex]-Klasse. Regex ist essenziell fuer Log-Parsing, Input-Validierung, Dateiumbenennung und Datenextraktion. Named Captures (?<name>...) erleichtern die strukturierte Auswertung.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_regular_expressions"
"PowerShell Scheduled Tasks";"Zeitgesteuerte Ausfuehrung von PowerShell-Skripten.";"Geplante Aufgaben (Task Scheduler) fuehren PowerShell-Skripte zeitgesteuert oder ereignisbasiert aus. New-ScheduledTaskTrigger, New-ScheduledTaskAction und Register-ScheduledTask konfigurieren Tasks per Cmdlet. Best Practices: Service Account mit minimalen Rechten, Logging, Exit-Code-Auswertung.";"In Windows enthalten.";"https://learn.microsoft.com/powershell/module/scheduledtasks/"
"PowerShell Parameter Validation";"Eingabepruefung in Funktionen und Skripten.";"Validation Attributes ([ValidateNotNullOrEmpty()], [ValidateSet()], [ValidateRange()], [ValidatePattern()], [ValidateScript()]) pruefen Parameter beim Aufruf automatisch. Sie erhoehen die Robustheit und liefern klare Fehlermeldungen ohne manuellen Pruefcode.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/scripting/developer/cmdlet/validating-parameter-input"
"PowerShell Output Formatting";"Steuerung der Ausgabedarstellung (Format-Table, Export-Csv etc.).";"PowerShell bietet Format-Table, Format-List, Format-Wide fuer die Konsolenausgabe und Export-Csv, ConvertTo-Json, ConvertTo-Html, Out-File fuer strukturierte Exporte. Custom Format Files (.ps1xml) definieren Standardansichten fuer eigene Objekte.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/scripting/learn/shell/formatting-output"
"PowerShell Classes";"Objektorientierte Programmierung in PowerShell 5+.";"PowerShell Classes ermoeglichen die Definition eigener Typen mit Eigenschaften, Methoden, Konstruktoren und Vererbung. Sie werden fuer DSC-Ressourcen, komplexe Module und typisierte Datenstrukturen eingesetzt. Enum-Definitionen ergaenzen das Typsystem.";"In PowerShell 5.0+ enthalten.";"https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_classes"
"PowerShell Jobs";"Hintergrund- und parallele Ausfuehrung von Aufgaben.";"Start-Job, Receive-Job und Wait-Job fuehren Aufgaben im Hintergrund aus. ForEach-Object -Parallel (PowerShell 7) ermoeglicht parallele Pipeline-Verarbeitung. Start-ThreadJob bietet leichtgewichtige Thread-basierte Jobs. Nutzlich fuer langlaufende Tasks und Massenoperationen.";"In PowerShell enthalten; -Parallel ab PowerShell 7.";"https://learn.microsoft.com/powershell/module/microsoft.powershell.core/about/about_jobs"
"PowerShell Logging und Transcription";"Protokollierung von Sitzungen und Befehlen.";"Start-Transcript zeichnet alle Ein- und Ausgaben einer Sitzung auf. Script Block Logging und Module Logging (per GPO) protokollieren ausgefuehrte Befehle im Windows Event Log. Protected Event Logging verschluesselt sensitive Logeintraege. Essenziell fuer Audit, Compliance und forensische Analyse.";"In PowerShell enthalten; GPO-Konfiguration in AD-Umgebungen.";"https://learn.microsoft.com/powershell/scripting/learn/deep-dives/everything-about-logging"
"PowerShell Crescendo";"Wrapper-Generator fuer native CLI-Tools als PowerShell-Cmdlets.";"Crescendo erstellt PowerShell-Cmdlets als Wrapper um native Kommandozeilen-Tools (ipconfig, netstat, docker, kubectl etc.). JSON-Konfigurationen definieren Parameter, Output-Parsing und Hilfetext. Ergebnis: nativer Tool-Output wird zu strukturierten PowerShell-Objekten.";"Kostenlos (Open Source).";"https://learn.microsoft.com/powershell/utility-modules/crescendo/overview"
"PowerShell PSReadLine";"Erweiterte Eingabe- und Editierfunktionen fuer die Shell.";"PSReadLine verbessert die interaktive Shell mit Syntax-Highlighting, mehrzeiliger Bearbeitung, Predictive IntelliSense, History-Suche (Ctrl+R) und anpassbaren Key Bindings. Ab PowerShell 7.3 ist Predictive IntelliSense standardmaessig aktiviert.";"In PowerShell 5.1+ und 7+ enthalten.";"https://learn.microsoft.com/powershell/module/psreadline/about/about_psreadline"
"PowerShell REST API Aufrufe";"HTTP-Anfragen an APIs per Invoke-RestMethod.";"Invoke-RestMethod und Invoke-WebRequest senden HTTP-Anfragen (GET, POST, PUT, DELETE) an REST-APIs und verarbeiten JSON/XML-Antworten automatisch als Objekte. Authentifizierung per Bearer Token, Basic Auth oder OAuth wird ueber Header und Body konfiguriert. Basis fuer Integrationen mit Microsoft Graph, Azure REST API und Drittanbieter-Diensten.";"In PowerShell enthalten.";"https://learn.microsoft.com/powershell/scripting/learn/deep-dives/everything-about-apis"
