"Eintrag";"Kurzbeschreibung";"Langbeschreibung";"Lizenz-Info";"Weblinks"
"3-2-1-Backup-Regel";"Grundprinzip fuer sichere Datensicherung.";"Die 3-2-1-Regel empfiehlt: 3 Kopien der Daten, auf 2 verschiedenen Medientypen, davon 1 extern (offsite oder Cloud). Die erweiterte 3-2-1-1-0-Regel ergaenzt: 1 Kopie offline/immutable und 0 Fehler bei Restore-Tests. Sie bildet das Fundament jeder Backup-Strategie.";"Organisatorisches Prinzip; keine Lizenzkosten.";"https://learn.microsoft.com/azure/backup/backup-overview"
"Veeam Backup and Replication";"Enterprise-Backup-Loesung fuer virtuelle und physische Umgebungen.";"Veeam B&R sichert VMs (Hyper-V, VMware), physische Server, NAS, M365-Daten und Cloud-Workloads. Features: Changed Block Tracking, Instant VM Recovery, SureBackup (automatisierte Restore-Tests), Immutable Backups und Scale-Out Backup Repository. Marktfuehrer im Bereich Virtualisierungs-Backup.";"Community Edition kostenlos (10 Workloads); Standard, Enterprise, Enterprise Plus lizenzpflichtig per Workload oder Socket.";"https://www.veeam.com/documentation-guides-datasheets.html"
"Immutable Backup";"Unveraenderliche Sicherungskopie als Ransomware-Schutz.";"Immutable Backups koennen nach dem Schreiben fuer einen definierten Zeitraum nicht geloescht, verschluesselt oder veraendert werden. Umsetzung: Linux Hardened Repository (Veeam), Azure Blob Immutability, AWS S3 Object Lock, WORM-Storage. Essenziell als letzte Verteidigungslinie gegen Ransomware.";"Abhaengig von Storage-Plattform und Backup-Software.";"https://learn.microsoft.com/azure/storage/blobs/immutable-storage-overview"
"Inkrementelles Backup";"Sicherung nur der seit dem letzten Backup geaenderten Daten.";"Inkrementelle Backups sichern nur die Aenderungen seit der letzten Sicherung (Voll oder Inkrementell). Vorteile: geringe Datenmenge, kurze Sicherungsdauer. Nachteil: Restore erfordert die Vollsicherung plus alle Inkremente. Forever-Incremental-Strategien (Veeam, Azure Backup) eliminieren regelmaessige Vollsicherungen.";"In den meisten Backup-Loesungen enthalten.";"https://learn.microsoft.com/azure/backup/backup-architecture"
"Differentielles Backup";"Sicherung aller Aenderungen seit dem letzten Vollbackup.";"Differentielle Backups sichern alle Aenderungen seit der letzten Vollsicherung. Sie wachsen taeglich, aber der Restore benoetigt nur Vollsicherung + letztes Differentiell. Kompromiss zwischen Speicherverbrauch und Restore-Geschwindigkeit gegenueber inkrementellen Backups.";"In den meisten Backup-Loesungen enthalten.";"https://en.wikipedia.org/wiki/Differential_backup"
"RPO und RTO";"Kennzahlen fuer Datenverlust-Toleranz und Wiederherstellungszeit.";"Recovery Point Objective (RPO) definiert den maximal akzeptablen Datenverlust (z. B. 1 Stunde = max. 1h Daten verloren). Recovery Time Objective (RTO) definiert die maximale Ausfallzeit bis zur Wiederherstellung. RPO bestimmt die Backup-Haeufigkeit, RTO die Restore-Architektur.";"Organisatorische Kennzahlen; keine Lizenzkosten.";"https://learn.microsoft.com/azure/reliability/disaster-recovery-overview"
"Bare Metal Recovery";"Wiederherstellung eines kompletten Servers ab Null.";"Bare Metal Recovery (BMR) stellt ein System vollstaendig auf neuer oder leerer Hardware wieder her, inklusive Betriebssystem, Treiber, Konfiguration und Daten. BMR-Images werden von Veeam, Windows Server Backup, Acronis und Azure Backup unterstuetzt.";"In den meisten Enterprise-Backup-Loesungen enthalten.";"https://learn.microsoft.com/windows-server/administration/windows-server-backup/windows-server-backup"
"RAID";"Redundante Festplattenanordnung fuer Ausfallsicherheit und Performance.";"RAID (Redundant Array of Independent Disks) kombiniert mehrere Festplatten zu logischen Einheiten. RAID 1 (Mirror), RAID 5 (Striping + Paritaet), RAID 6 (doppelte Paritaet), RAID 10 (Mirror + Stripe). RAID schuetzt vor Einzelfestplattenausfall, ersetzt aber kein Backup.";"Hardware-RAID-Controller oder Software-RAID (Windows Storage Spaces, mdadm).";"https://en.wikipedia.org/wiki/RAID"
"SAN";"Blockspeichernetzwerk fuer Server und VMs.";"Ein Storage Area Network stellt Blockspeicher ueber dedizierte Netzwerke (Fibre Channel, iSCSI) bereit. Server sehen SAN-LUNs als lokale Festplatten. SANs bieten hohe IOPS, Snapshots, Thin Provisioning und Replikation. Hersteller: NetApp, Dell EMC, HPE, Pure Storage.";"Hardware und Software lizenzpflichtig; iSCSI-Targets auch auf Windows Server oder NAS.";"https://en.wikipedia.org/wiki/Storage_area_network"
"NAS vs. SAN";"Vergleich dateibasierter und blockbasierter Speichersysteme.";"NAS stellt Dateien ueber SMB/NFS bereit (einfach, kostenguenstig, fuer File Sharing). SAN stellt Bloecke ueber FC/iSCSI bereit (hohe Performance, fuer VMs und Datenbanken). In KMU-Umgebungen reicht oft NAS; Enterprise-Workloads profitieren von SAN oder hyperkonvergentem Storage.";"NAS: Hardware-Anschaffung; SAN: deutlich hoehere Investition.";"https://en.wikipedia.org/wiki/Storage_area_network"
"Tiered Storage";"Automatische Datenverteilung auf verschiedene Speicherklassen.";"Storage Tiering verschiebt Daten automatisch zwischen schnellen (SSD/NVMe) und guenstigen (HDD/Archive) Speicherebenen basierend auf Zugriffshaeufigkeit. Azure Blob Tiers (Hot/Cool/Cold/Archive), Storage Spaces Direct Tiering und NAS-Auto-Tiering sind gaengige Implementierungen.";"Abhaengig von Plattform; Azure Blob Tiering nach Speichermenge und Zugriffen.";"https://learn.microsoft.com/azure/storage/blobs/access-tiers-overview"
"Deduplication";"Speicherplatzreduktion durch Erkennung doppelter Datenbloecke.";"Deduplication erkennt identische Datenbloecke und speichert sie nur einmal mit Referenzen. Inline-Dedup verarbeitet Daten beim Schreiben, Post-Process-Dedup nachtraeglich. Einsparungen von 50-90% auf Backup-Repositories und File Servern sind realistisch. Verfuegbar in Windows Server, Veeam, NetApp, ZFS.";"In Windows Server Data Dedup enthalten; in Veeam und Enterprise-Storage integriert.";"https://learn.microsoft.com/windows-server/storage/data-deduplication/overview"
