Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
Zero Trust;Sicherheitsmodell ohne pauschales Vertrauen.;Zero Trust basiert auf dem Prinzip 'Never trust, always verify'. Jede Zugriffsanfrage wird unabhaengig von Standort oder Netzwerk anhand von Identitaet, Geraetezustand, Risikosignal und Richtlinie geprueft. Die drei Saeulen: Identitaeten verifizieren, Least Privilege durchsetzen, von einem Sicherheitsvorfall ausgehen (Assume Breach). Microsoft setzt Zero Trust ueber Entra ID, Conditional Access, Intune, Defender und Purview um.;"Kein einzelnes Produkt; umgesetzt durch M365 E3/E5, Entra ID P1/P2, Intune, Defender-Suite.";https://learn.microsoft.com/security/zero-trust/
Endpoint Protection;Schutz von Endgeraeten vor Malware und Bedrohungen.;Endpoint Protection umfasst Antivirus, Anti-Malware, verhaltensbasierte Erkennung, Exploit-Schutz und Geraetekontrolle auf Clients und Servern. Microsoft Defender for Endpoint bietet als EDR-Loesung zusaetzlich Threat Analytics, automatisierte Untersuchung und Live-Response. Drittanbieter: CrowdStrike, SentinelOne, Sophos, Trend Micro.;"Microsoft Defender Antivirus in Windows enthalten; Defender for Endpoint Plan 1 in M365 E3, Plan 2 in M365 E5.";https://learn.microsoft.com/defender-endpoint/microsoft-defender-endpoint
Security Awareness;Schulungen zur Erkennung von IT-Sicherheitsrisiken.;Security Awareness Training sensibilisiert Mitarbeitende fuer Phishing, Social Engineering, Passwortsicherheit, Datenklassifizierung und physische Sicherheit. Regelmaessige Kampagnen, Phishing-Simulationen und Wissenspruefungen erhoehen die menschliche Verteidigungslinie. Microsoft bietet Attack Simulation Training in Defender for Office 365 Plan 2.;"Attack Simulation Training in M365 E5 / Defender for Office 365 Plan 2; Drittanbieter (KnowBe4, Proofpoint) separat.";https://learn.microsoft.com/defender-office-365/attack-simulation-training-get-started
Backup-Strategie;Plan fuer Datensicherung, Aufbewahrung und Wiederherstellung.;Eine Backup-Strategie definiert Sicherungsumfang (welche Daten), Sicherungsart (Voll, Inkrementell, Differentiell), Sicherungsintervalle (RPO), Wiederherstellungszeiten (RTO), Aufbewahrungsfristen und Speicherorte (lokal, offsite, Cloud). Die 3-2-1-Regel (3 Kopien, 2 Medien, 1 extern) ist ein bewaehrtes Grundprinzip. Regelmaessige Restore-Tests verifizieren die Wiederherstellbarkeit.;Abhaengig von Backup-Loesung: Veeam, Azure Backup, Acronis, Windows Server Backup (enthalten), Synology Hyper Backup (in NAS enthalten).;https://learn.microsoft.com/azure/backup/backup-overview
Disaster Recovery;Wiederherstellung von Systemen nach gravierenden Ausfaellen.;Disaster Recovery (DR) beschreibt Verfahren und Infrastruktur, um nach Katastrophen (Hardwareausfall, Ransomware, Standortverlust) IT-Systeme und Daten geordnet wiederherzustellen. DR-Plaene definieren RTO, RPO, Failover-Reihenfolge und Kommunikationswege. Technologien: Azure Site Recovery, Veeam Replication, VMware SRM, Hyper-V Replica.;"Azure Site Recovery nach geschuetzter Instanz; Veeam, Zerto lizenzpflichtig; Hyper-V Replica in Windows Server enthalten.";https://learn.microsoft.com/azure/site-recovery/site-recovery-overview
Business Continuity;Aufrechterhaltung kritischer Prozesse bei Stoerungen.;Business Continuity Management (BCM) sichert die Fortfuehrung geschaeftskritischer Prozesse auch waehrend und nach Krisen. Ein BCP (Business Continuity Plan) identifiziert kritische Prozesse (BIA), definiert Mindestbetriebsniveaus, Ausweichstandorte und Kommunikationsplaene. DR ist ein Teilaspekt von BCM. Standards: ISO 22301, BSI 200-4.;"Kein spezifisches Produkt; organisatorischer Prozess unterstuetzt durch DR-Tools und Redundanzkonzepte.";https://learn.microsoft.com/azure/reliability/business-continuity-management-program
Vulnerability Management;Erkennung, Bewertung und Behebung von Schwachstellen.;Vulnerability Management ist ein kontinuierlicher Prozess: Schwachstellen-Scans identifizieren CVEs und Fehlkonfigurationen, Risikobewertung priorisiert nach CVSS-Score und Geschaeftskontext, Remediation schliesst die Luecken durch Patches oder Konfigurationsaenderungen. Microsoft Defender Vulnerability Management bietet integriertes Scanning fuer M365-verwaltete Endgeraete.;"Defender Vulnerability Management in M365 E5 oder als Add-on; Drittanbieter: Tenable, Qualys, Rapid7.";https://learn.microsoft.com/defender-vulnerability-management/defender-vulnerability-management
Patch Management;Kontrollierte Aktualisierung von Software und Betriebssystemen.;Patch Management umfasst die Bewertung, den Test, die Genehmigung und das Deployment von Sicherheits- und Feature-Updates auf Servern, Clients und Netzwerkgeraeten. Tools: WSUS, Microsoft Intune, Azure Update Manager, SCCM/MECM, ManageEngine. Patch-Zyklen sollten zeitnah nach Patch Tuesday erfolgen, kritische Updates ggf. sofort.;"WSUS in Windows Server enthalten; Intune in M365 E3/E5; Azure Update Manager kostenlos fuer Azure-VMs.";https://learn.microsoft.com/azure/update-manager/overview
Incident Response;Strukturierte Reaktion auf Sicherheitsvorfaelle.;Incident Response (IR) folgt typischerweise dem NIST-Framework: Vorbereitung, Erkennung und Analyse, Eindaemmung, Beseitigung, Wiederherstellung und Lessons Learned. Ein IR-Plan definiert Rollen, Eskalationswege, Kommunikation und forensische Massnahmen. Microsoft Defender XDR und Sentinel unterstuetzen automatisierte Erkennung und Reaktion (SOAR).;"Tools in M365 E5 (Defender XDR, Sentinel); IR-Plan als organisatorische Massnahme ohne Lizenzkosten.";https://learn.microsoft.com/defender-xdr/incidents-overview
SIEM;Zentrale Sammlung und Korrelation von Sicherheitsereignissen.;Ein Security Information and Event Management (SIEM) System aggregiert Logdaten aus Firewalls, Servern, Endpunkten, Cloud-Diensten und Anwendungen, korreliert Ereignisse per Analyseregeln und erzeugt Sicherheitswarnungen. Microsoft Sentinel ist die cloudnative SIEM/SOAR-Loesung auf Basis von Log Analytics. Alternativen: Splunk, IBM QRadar, Elastic SIEM.;"Microsoft Sentinel nach Logdatenvolumen; Splunk/QRadar lizenzbasiert; Elastic SIEM Open Source (Basis).";https://learn.microsoft.com/azure/sentinel/overview
