Eintrag;Kurzbeschreibung;Langbeschreibung;Lizenz-Info;MS Learn / Weblinks
Microsoft 365 Tenant;Die zentrale Verwaltungsinstanz einer M365-Umgebung.;Der Microsoft 365 Tenant ist die organisationseigene Cloud-Instanz, in der saemtliche Benutzerkonten, Lizenzen, Dienste, Sicherheitsrichtlinien und Konfigurationen zusammenlaufen. Er bildet die Grundlage fuer alle Microsoft-365-Dienste und wird beim Onboarding automatisch mit einer *.onmicrosoft.com-Domaene angelegt.;Bestandteil jedes M365-Abonnements (Business Basic bis E5).;https://learn.microsoft.com/microsoft-365/enterprise/tenant-roadmap-microsoft-365
Exchange Online;Cloudbasierter E-Mail- und Kalenderdienst in Microsoft 365.;Exchange Online stellt Postfaecher, Kalender, Kontakte, Aufgaben und oeffentliche Ordner als Cloud-Dienst bereit. Admins verwalten Transportregeln, Connectors, Antispam-Richtlinien und Postfachberechtigungen per Exchange Admin Center oder PowerShell.;Enthalten in Business Basic, Standard, E1, E3, E5 oder als Standalone (Plan 1 / Plan 2).;https://learn.microsoft.com/exchange/exchange-online
SharePoint Online;Dokumentenmanagement- und Intranet-Plattform in M365.;SharePoint Online bietet Teamwebsites, Kommunikationswebsites, Dokumentbibliotheken, Listen und Hub-Strukturen fuer die unternehmensweite Zusammenarbeit. Berechtigungen, Versionierung und Compliance-Funktionen lassen sich granular steuern.;Enthalten in Business Basic+, E1, E3, E5 oder Standalone (Plan 1 / Plan 2).;https://learn.microsoft.com/sharepoint/introduction
Microsoft Teams;Kollaborationsplattform fuer Chat, Meetings, Telefonie und Apps.;Microsoft Teams vereint persistenten Chat, Audio-/Videokonferenzen, Telefonie, Dateifreigabe und App-Integration in einem Client. Es dient als zentrale Oberflaeche fuer die taegliche Zusammenarbeit und bindet SharePoint, Planner, Loop und Drittanbieter-Apps ein.;"Enthalten in Business Basic+, E1, E3, E5; Teams Essentials als Einstieg.";https://learn.microsoft.com/microsoftteams/get-started-with-teams-quick-start
OneDrive for Business;Persoenlicher Cloudspeicher fuer geschaeftliche Dateien.;OneDrive for Business speichert persoenliche Arbeitsdateien in der Cloud mit Synchronisation, Versionsverlauf, Freigabeoptionen und Known Folder Move. Die Daten liegen auf SharePoint Online und profitieren von dessen Compliance- und Sicherheitsfunktionen.;"Enthalten in Business Basic+, E1, E3, E5; 1 TB Standard, bis 5 TB erweiterbar.";https://learn.microsoft.com/sharepoint/onedrive-overview
Microsoft Entra ID;Cloud-Identitaetsdienst fuer Benutzer, Gruppen und Zugriff.;Microsoft Entra ID (ehemals Azure Active Directory) verwaltet Identitaeten, Gruppenmitgliedschaften, App-Registrierungen, Conditional Access und Single Sign-On. Es ist die zentrale Authentifizierungs- und Autorisierungsschicht fuer alle M365- und Azure-Dienste.;"Free-Tier inkl.; P1 in M365 E3, P2 in M365 E5 enthalten.";https://learn.microsoft.com/entra/fundamentals/whatis
Microsoft Intune;Cloud-Plattform fuer Geraete- und App-Verwaltung.;Microsoft Intune steuert Geraeteregistrierung, Compliance-Richtlinien, Konfigurationsprofile und App-Verteilung fuer Windows, macOS, iOS und Android. In Kombination mit Conditional Access greifen nur konforme Geraete auf Unternehmensressourcen zu.;"Enthalten in M365 E3/E5, EMS E3/E5; Intune Plan 1 / Plan 2 als Add-on.";https://learn.microsoft.com/mem/intune/fundamentals/what-is-intune
Conditional Access;Richtlinienbasierte Zugriffssteuerung in Entra ID.;Conditional Access wertet bei jeder Anmeldung Signale wie Benutzer, Geraet, Standort, Risikostufe und App aus und erzwingt definierte Aktionen (MFA, Geraetecompliance, Blockierung). Es ist das zentrale Werkzeug fuer Zero-Trust-Zugriffskontrolle in Microsoft 365.;Erfordert mindestens Entra ID P1 (in M365 E3 enthalten).;https://learn.microsoft.com/entra/identity/conditional-access/overview
Multi-Faktor-Authentifizierung;Zusaetzlicher Anmeldefaktor neben dem Passwort.;MFA ergaenzt die Anmeldung um einen zweiten Faktor (Authenticator-App, FIDO2-Key, SMS, Telefonanruf). In Kombination mit Conditional Access laesst sich MFA risiko- und kontextabhaengig steuern. Security Defaults aktivieren MFA fuer alle Benutzer.;"Security Defaults kostenlos; erweiterte Steuerung ab Entra ID P1.";https://learn.microsoft.com/entra/identity/authentication/concept-mfa-howitworks
Defender for Office 365;Schutz fuer E-Mail, Links und Anhaenge vor Bedrohungen.;Defender for Office 365 schuetzt Exchange Online, SharePoint und Teams vor Phishing, Malware, Business-E-Mail-Compromise und Zero-Day-Angriffen. Plan 1 bietet Safe Links/Attachments, Plan 2 ergaenzt Threat Explorer, automatisierte Untersuchung und Angriffssimulation.;"Plan 1 in M365 E3 (teilweise), Plan 2 in M365 E5; separat als Add-on.";https://learn.microsoft.com/defender-office-365/mdo-about
