NAME;EMAIL;PHONE;INDUSTRY;COMPANY_SIZE;DESCRIPTION;WEBSITE;CITY;ZIP;COUNTRY;FOUNDED_YEAR;EMPLOYEE_COUNT;IS_PARTNER;IS_TOP_PARTNER;IS_SPONSOR;STATUS
ALSO Deutschland GmbH;;;IT-Distribution / Channel;enterprise;IT-Channel- und Distributionsunternehmen mit starkem Microsoft- und Infrastruktur-Fokus.;https://www.also.de/;;;Deutschland;;;1;0;0;active
T-Systems International GmbH;;;Cloud / Enterprise IT;enterprise;Unternehmens- und Public-Sector-IT mit Schwerpunkten auf Cloud, AI und Infrastruktur.;https://www.t-systems.com/;;;Deutschland;;;1;1;0;active
Governikus GmbH & Co. KG;;;Digital Identity / eGovernment;mid-market;Spezialist für digitale Identitäten, eID und sichere Verwaltungsprozesse.;https://www.governikus.de/;;;Deutschland;;;1;0;0;active
BMW Group;;;Automotive / Digital Transformation;enterprise;Automobilkonzern mit CIO- und Digital-Transformation-Themen aus dem Event-Datensatz.;https://www.bmwgroup.com/;;;Deutschland;;;0;0;1;active
Siemens AG;;;Industrial Technology / Software;enterprise;Industrie- und Technologiekonzern mit Architektur-, Automatisierungs- und AI-Bezug.;https://www.siemens.com/;;;Deutschland;;;1;0;0;active
Bosch Sensortec GmbH;;;Sensor Technology / IoT;mid-market;IoT- und Sensortechnologie-Unternehmen aus dem Embedded- und Industrie-Kontext.;https://www.bosch-sensortec.com/;;;Deutschland;;;0;0;0;active
SoftwareOne Deutschland GmbH;;;Cloud / Licensing / Security;enterprise;Cloud-, Security- und Lizenzberatung mit Azure- und Governance-Schwerpunkt.;https://www.softwareone.com/;;;Deutschland;;;1;0;0;active
adesso SE;;;IT-Consulting / Software;enterprise;IT-Beratung und Software-Engineering mit Cloud-, Security- und Migrations-Know-how.;https://www.adesso.de/;;;Deutschland;;;1;0;0;active
SAP SE;;;ERP / Enterprise Software;enterprise;Enterprise-Software-Anbieter mit Fokus auf Business- und Cloud-Plattformen.;https://www.sap.com/;;;Deutschland;;;0;0;0;active
Net at Work GmbH;;;Messaging / Collaboration / Security;mid-market;Spezialist für Exchange, Collaboration, Unified Communications und Security.;https://www.netatwork.de/;;;Deutschland;;;1;0;0;active
Fortinet GmbH;;;Cybersecurity;enterprise;Security-Anbieter für Network Security, Firewalling und Security-Plattformen.;https://www.fortinet.com/;;;Deutschland;;;0;0;1;active
Ceyoniq Technology GmbH;;;DMS / Digital Transformation;mid-market;Software-Anbieter für Dokumentenmanagement und digitale Geschäftsprozesse.;https://www.ceyoniq.com/;;;Deutschland;;;1;0;0;active
